	dinput	filter	forwd	length	nonchim	chim_perc	retained_perc
ERR012016.fastq	9813	9785	8511	8511	8486	0.3	86.5
ERR012017.fastq	9592	9544	8308	8308	7995	3.8	83.4
ERR012018.fastq	11456	11413	9394	9394	9394	0	82
ERR012019.fastq	10289	10251	9255	9255	8953	3.3	87
ERR012020.fastq	10001	9948	9254	4990	4990	0	49.9
ERR012021.fastq	15361	15278	13088	13088	13083	0	85.2
ERR012022.fastq	13476	13428	11519	11519	11507	0.1	85.4
ERR012023.fastq	13082	13053	10694	10694	10694	0	81.7
ERR012024.fastq	7016	6993	5759	5759	5759	0	82.1
ERR012026.fastq	13905	13855	12090	12090	11791	2.5	84.8
ERR012027.fastq	14776	14731	13244	13244	13150	0.7	89
ERR012028.fastq	11556	11510	10229	10229	10229	0	88.5
ERR012029.fastq	17145	17102	14875	14875	14875	0	86.8
ERR012030.fastq	14927	14876	12831	12831	12483	2.7	83.6
ERR012031.fastq	7846	7807	6471	6471	6471	0	82.5
ERR012032.fastq	2001	1994	1598	1598	1598	0	79.9
ERR012033.fastq	4004	3990	3077	3077	3077	0	76.8
ERR012034.fastq	10543	10493	9196	9196	9194	0	87.2
ERR012035.fastq	10196	10137	8697	8697	8697	0	85.3
ERR012036.fastq	3119	3112	2499	2499	2499	0	80.1
ERR012037.fastq	3753	3724	2834	2834	2834	0	75.5
ERR012038.fastq	8785	8766	7037	7037	7022	0.2	79.9
ERR012039.fastq	15409	15376	12730	12730	12459	2.1	80.9
ERR012040.fastq	12453	12429	10978	10978	10914	0.6	87.6
ERR012041.fastq	13941	13855	11842	11842	11448	3.3	82.1
ERR012042.fastq	11275	11226	9736	9736	9733	0	86.3
ERR012043.fastq	11437	11370	9661	9661	9639	0.2	84.3
ERR012044.fastq	13758	13681	10905	10905	10841	0.6	78.8
ERR012045.fastq	12173	12104	10585	10585	10283	2.9	84.5
ERR012046.fastq	9424	9397	8088	8088	8088	0	85.8
ERR012047.fastq	6431	6424	6136	1333	1333	0	20.7
ERR012048.fastq	11456	11413	9889	9889	9889	0	86.3
ERR012049.fastq	12853	12793	11395	11395	11395	0	88.7
ERR012050.fastq	17325	17283	13909	13909	13125	5.6	75.8
ERR012051.fastq	11234	11190	9427	9427	9195	2.5	81.8
ERR012052.fastq	12925	12904	11212	11212	11025	1.7	85.3
ERR012053.fastq	16605	16548	14504	14504	14109	2.7	85
ERR012054.fastq	2787	2773	2090	2090	2090	0	75
ERR012055.fastq	10084	10053	8700	8700	8700	0	86.3
ERR012056.fastq	9941	9920	7666	7666	7634	0.4	76.8
ERR012057.fastq	13152	13104	11291	11291	11215	0.7	85.3
ERR012058.fastq	10873	10841	8946	8946	8912	0.4	82
ERR012059.fastq	11667	11617	9368	9368	9257	1.2	79.3
ERR012060.fastq	9180	9142	7718	7718	7554	2.1	82.3
ERR012061.fastq	14689	14647	12003	12003	11686	2.6	79.6
ERR012062.fastq	13905	13890	12047	12047	12040	0.1	86.6
ERR012063.fastq	12046	12012	10663	10663	10639	0.2	88.3
ERR012064.fastq	6981	6959	6615	1523	1523	0	21.8
ERR012065.fastq	10913	10880	9786	9786	9669	1.2	88.6
ERR012066.fastq	15117	15016	12883	12883	12706	1.4	84.1
ERR012067.fastq	10171	10146	9282	9282	9282	0	91.3
ERR012068.fastq	9200	9165	8011	8011	8011	0	87.1
ERR012069.fastq	5522	5505	5230	2099	2099	0	38
ERR012070.fastq	12373	12336	10702	10702	10434	2.5	84.3
ERR012071.fastq	11664	11643	10197	10197	10197	0	87.4
ERR012072.fastq	14164	14098	12920	12920	12920	0	91.2
ERR012073.fastq	9447	9401	8205	8205	8205	0	86.9
ERR012074.fastq	8416	8385	6853	6853	6853	0	81.4
ERR012075.fastq	19049	18977	16513	16513	16378	0.8	86
ERR012076.fastq	12701	12664	11085	11085	10887	1.8	85.7
ERR012077.fastq	9259	9228	8067	8067	8038	0.4	86.8
ERR012078.fastq	8944	8916	7822	7822	7822	0	87.5
ERR012079.fastq	4987	4961	3966	3966	3966	0	79.5
ERR012080.fastq	15036	14992	12959	12959	12959	0	86.2
ERR012081.fastq	3079	3066	2393	2393	2377	0.7	77.2
ERR012082.fastq	6844	6805	5318	5318	5318	0	77.7
ERR012083.fastq	2621	2607	1891	1891	1891	0	72.1
ERR012084.fastq	14776	14721	12699	12699	12699	0	85.9
ERR012085.fastq	9815	9787	8703	8703	8703	0	88.7
ERR012086.fastq	9902	9875	8588	8588	8588	0	86.7
ERR012087.fastq	1727	1724	1429	1429	1426	0.2	82.6
ERR012088.fastq	11053	10991	9482	9482	9482	0	85.8
ERR012089.fastq	10416	10363	9116	9116	9116	0	87.5
ERR012090.fastq	3375	3361	2826	2826	2826	0	83.7
ERR012091.fastq	9026	9007	7764	7764	7764	0	86
