	dinput	filter	forwd	length	nonchim	chim_perc	retained_perc
SRR21968832.fastq	6008	6007	4197	4197	3836	8.6	63.8
SRR21968833.fastq	4714	4714	2530	2530	2411	4.7	51.1
SRR21968835.fastq	5095	5095	3139	3139	2947	6.1	57.8
SRR21968836.fastq	5148	5148	3409	3409	3084	9.5	59.9
SRR21968837.fastq	5827	5827	3491	3491	3114	10.8	53.4
SRR21968838.fastq	5617	5617	3552	3552	3380	4.8	60.2
SRR21968839.fastq	5178	5178	3272	3272	3056	6.6	59
SRR21968840.fastq	6181	6181	4365	4365	4103	6	66.4
SRR21968841.fastq	4162	4162	2752	2752	2683	2.5	64.5
SRR21968843.fastq	3493	3493	2080	2080	2021	2.8	57.9
SRR21968844.fastq	5191	5191	3138	3138	2824	10	54.4
SRR21968845.fastq	4475	4475	2745	2745	2712	1.2	60.6
SRR21968846.fastq	5214	5214	3851	3851	3730	3.1	71.5
SRR21968847.fastq	5297	5296	3429	3429	2854	16.8	53.9
SRR21968848.fastq	12490	12490	8664	8664	7913	8.7	63.4
SRR21968849.fastq	3778	3778	2067	2067	2059	0.4	54.5
SRR21968850.fastq	5496	5496	2863	2863	2714	5.2	49.4
SRR21968851.fastq	6215	6215	3806	3806	3743	1.7	60.2
SRR21968852.fastq	5697	5697	3428	3428	2851	16.8	50
SRR21968854.fastq	4279	4278	2236	2236	2165	3.2	50.6
SRR21968855.fastq	5278	5278	3695	3695	3328	9.9	63.1
SRR21968856.fastq	5856	5856	3828	3828	3445	10	58.8
SRR21968857.fastq	6471	6471	4361	4361	4003	8.2	61.9
SRR21968858.fastq	5340	5340	4037	4037	3866	4.2	72.4
SRR21968859.fastq	5522	5522	3641	3641	3546	2.6	64.2
SRR21968860.fastq	5498	5497	3763	3763	3515	6.6	63.9
SRR21968922.fastq	7041	7041	5331	5331	4947	7.2	70.3
SRR21968793_1.fastq	40896	33590	32215	32215	31826	1.2	77.8
