	dinput	filter	forwd	length	nonchim	chim_perc	retained_perc
SRR2467275.fastq	12128	12125	11427	11427	11364	0.6	93.7
SRR2467276.fastq	11578	11578	10908	10908	10846	0.6	93.7
SRR2467277.fastq	10829	10827	10246	10246	10079	1.6	93.1
SRR2467278.fastq	11599	11598	10759	10759	10571	1.7	91.1
SRR2467280.fastq	12650	12647	11702	11702	11516	1.6	91
SRR2467281.fastq	11549	11546	10884	10884	10640	2.2	92.1
SRR2467282.fastq	12198	12196	11452	11452	11393	0.5	93.4
SRR2467283.fastq	12376	12375	11369	11369	11340	0.3	91.6
SRR2467284.fastq	12613	12612	11782	11782	11770	0.1	93.3
SRR2467285.fastq	11190	11188	10589	10589	10388	1.9	92.8
SRR2467286.fastq	10666	10666	10183	10183	10107	0.7	94.8
SRR2467287.fastq	11595	11595	10994	10994	10621	3.4	91.6
SRR2467290.fastq	10525	10524	9746	9746	9548	2	90.7
SRR2467291.fastq	10677	10675	9869	9869	9854	0.2	92.3
SRR2467293.fastq	12051	12050	11356	11356	11227	1.1	93.2
SRR2467294.fastq	7221	7220	6791	6791	6791	0	94
SRR2467295.fastq	11566	11563	11032	11032	10756	2.5	93
SRR2467296.fastq	11554	11554	10958	10958	10919	0.4	94.5
SRR2467297.fastq	12134	12134	11307	11307	11274	0.3	92.9
SRR2467298.fastq	10890	10890	10221	10221	10214	0.1	93.8
SRR2467299.fastq	11548	11547	10819	10819	10771	0.4	93.3
SRR2467300.fastq	9546	9545	9045	9045	9025	0.2	94.5
SRR2467301.fastq	12432	12429	11619	11619	11559	0.5	93
SRR2467302.fastq	12391	12386	11723	11723	11669	0.5	94.2
SRR2467303.fastq	8987	8987	8674	8674	8643	0.4	96.2
SRR2467304.fastq	12152	12150	11538	11538	11416	1.1	93.9
SRR2467305.fastq	11433	11432	10810	10810	10594	2	92.7
SRR2467306.fastq	12886	12885	12190	12190	11883	2.5	92.2
SRR2467307.fastq	12447	12447	11835	11835	11590	2.1	93.1
SRR2467308.fastq	8606	8604	8205	8205	8131	0.9	94.5
SRR2467309.fastq	11677	11677	11108	11108	10713	3.6	91.7
SRR2467310.fastq	11563	11561	11090	11090	11018	0.6	95.3
SRR2467311.fastq	11322	11322	10839	10839	10651	1.7	94.1
SRR2467312.fastq	12491	12488	11764	11764	11677	0.7	93.5
SRR2467313.fastq	12766	12766	12240	12240	11747	4	92
SRR2467314.fastq	14123	14123	13439	13439	13200	1.8	93.5
SRR2467315.fastq	16593	16593	15579	15579	15463	0.7	93.2
SRR2467316.fastq	15127	15125	14248	14248	14003	1.7	92.6
SRR2467317.fastq	14947	14945	14446	14446	14446	0	96.6
SRR2467318.fastq	13438	13434	12884	12884	12841	0.3	95.6
SRR2467319.fastq	14478	14478	13861	13861	13821	0.3	95.5
SRR2467320.fastq	12588	12586	11864	11864	11672	1.6	92.7
SRR2467321.fastq	15543	15542	14387	14387	14261	0.9	91.8
SRR2467322.fastq	16337	16334	15159	15159	15088	0.5	92.4
SRR2467323.fastq	12949	12948	12029	12029	11963	0.5	92.4
SRR2467324.fastq	14229	14227	13520	13520	13125	2.9	92.2
SRR2467325.fastq	16155	16151	15233	15233	14903	2.2	92.3
SRR2467326.fastq	15411	15409	14672	14672	14376	2	93.3
SRR2467327.fastq	14956	14956	14606	14606	14433	1.2	96.5
SRR2467328.fastq	13800	13800	13445	13445	13162	2.1	95.4
SRR2467329.fastq	14931	14931	14522	14522	14234	2	95.3
SRR2467330.fastq	17573	17568	16534	16534	16182	2.1	92.1
SRR2467331.fastq	13776	13775	13098	13098	13013	0.6	94.5
SRR2467332.fastq	14906	14905	14081	14081	13763	2.3	92.3
SRR2467333.fastq	21647	21641	20007	20007	19594	2.1	90.5
SRR2467334.fastq	14878	14876	14009	14009	13509	3.6	90.8
SRR2467335.fastq	14599	14598	13889	13889	13369	3.7	91.6
SRR2467336.fastq	14208	14208	13168	13168	12998	1.3	91.5
SRR2467337.fastq	14528	14524	13385	13385	12938	3.3	89.1
SRR2467338.fastq	15427	15424	14587	14587	14312	1.9	92.8
