test_study,auc
PRJEB41443,0.7305308020147229
PRJNA560950,0.7074662089680327
PRJNA780023,0.5022635135135135
PRJNA891951,0.5756380786303107
PRJNA293971,0.75125
PRJNA306884,0.8294871794871794
PRJNA428736,0.6783886233038775
