test_study,auc
PRJEB41443,0.801433552886478
PRJNA560950,0.6339841235786312
PRJNA780023,0.4879391891891892
PRJNA891951,0.5806317374762207
PRJNA293971,0.703125
PRJNA306884,0.8194017094017094
PRJNA428736,0.7021856439229321
