test_study,auc
PRJEB41443,0.7506780317706316
PRJNA560950,0.7019416434241579
PRJNA780023,0.5084121621621621
PRJNA891951,0.559547400126823
PRJNA293971,0.7318749999999999
PRJNA306884,0.8254700854700855
PRJNA428736,0.6521998285769471
