test_study,auc
PRJEB41443,0.7907787679194112
PRJNA560950,0.6569405706929843
PRJNA780023,0.5087162162162162
PRJNA891951,0.5770846544071021
PRJNA293971,0.5606249999999999
PRJNA306884,0.8165811965811965
PRJNA428736,0.7000488917861798
