	dinput	filter	forwd	length	nonchim	chim_perc	retained_perc
SRR5504364.fastq	19335	19335	18144	18144	18128	0.1	93.8
SRR5504365.fastq	8963	8962	5589	5589	5589	0	62.4
SRR5504366.fastq	10530	10530	6893	6893	6874	0.3	65.3
SRR5504367.fastq	4410	4410	2536	2536	2536	0	57.5
SRR5504368.fastq	10946	10946	9108	9108	9108	0	83.2
SRR5504369.fastq	7394	7394	6301	6301	6301	0	85.2
SRR5504370.fastq	10701	10701	7399	7399	7399	0	69.1
SRR5504371.fastq	10425	10425	8705	8705	8705	0	83.5
SRR5504372.fastq	9513	9513	5656	5656	5656	0	59.5
SRR5504373.fastq	13926	13926	12633	12633	12450	1.4	89.4
SRR5504374.fastq	5469	5468	3022	3022	3022	0	55.3
SRR5504375.fastq	11823	11823	8968	8968	8968	0	75.9
SRR5504376.fastq	8412	8412	7147	7147	7147	0	85
SRR5504377.fastq	9720	9718	7343	7343	7343	0	75.5
SRR5504378.fastq	8947	8947	4076	4076	4076	0	45.6
SRR5504379.fastq	7797	7795	4765	4765	4765	0	61.1
SRR5504380.fastq	4815	4815	1992	1992	1992	0	41.4
SRR5504381.fastq	6949	6948	4618	4618	4618	0	66.5
SRR5504382.fastq	6431	6431	4530	4530	4530	0	70.4
SRR5504383.fastq	3489	3489	2298	2298	2298	0	65.9
SRR5504384.fastq	12357	12356	10814	10814	10814	0	87.5
SRR5504385.fastq	9409	9408	6346	6346	6346	0	67.4
SRR5504386.fastq	10836	10834	9000	9000	9000	0	83.1
SRR5504387.fastq	13196	13196	10834	10834	10834	0	82.1
SRR5504388.fastq	6334	6334	6121	6121	6121	0	96.6
SRR5504389.fastq	2605	2605	1137	1137	1137	0	43.6
SRR5504390.fastq	8395	8393	7634	427	427	0	5.1
SRR5504391.fastq	4076	4076	1783	1783	1783	0	43.7
SRR5504392.fastq	16121	16121	15222	15222	15222	0	94.4
SRR5504393.fastq	5994	5994	5010	5010	5010	0	83.6
SRR5504394.fastq	12469	12469	11286	11286	11286	0	90.5
SRR5504395.fastq	10059	10058	7664	7664	7664	0	76.2
SRR5504396.fastq	12014	12014	10090	10090	10090	0	84
SRR5504397.fastq	7445	7445	4268	4268	4268	0	57.3
SRR5504398.fastq	10365	10362	8364	8364	8364	0	80.7
SRR5504399.fastq	5351	5350	4401	4401	4401	0	82.2
SRR5504400.fastq	5243	5243	3240	3240	3240	0	61.8
SRR5504401.fastq	10339	10338	6595	6595	6588	0.1	63.7
SRR5504403.fastq	56	56	51	51	51	0	91.1
SRR5504404.fastq	14413	14412	10688	10688	10688	0	74.2
SRR5504405.fastq	14341	14341	9119	9119	9021	1.1	62.9
SRR5504406.fastq	10066	10065	6791	6791	6791	0	67.5
SRR5504407.fastq	16173	16170	11696	11696	11696	0	72.3
SRR5504408.fastq	9841	9841	6602	6602	6602	0	67.1
SRR5504409.fastq	10278	10277	8743	8743	8743	0	85.1
SRR5504410.fastq	4395	4395	3042	3011	3011	0	68.5
SRR5504411.fastq	7830	7830	6765	6765	6765	0	86.4
SRR5504412.fastq	6036	6035	2770	2770	2570	7.2	42.6
SRR5504413.fastq	11510	11510	8131	8131	8131	0	70.6
SRR5504414.fastq	14643	14642	11317	11317	11317	0	77.3
SRR5504415.fastq	5843	5842	1979	1979	1979	0	33.9
SRR5504416.fastq	13148	13147	10266	10266	10266	0	78.1
SRR5504417.fastq	4672	4672	2491	2491	2491	0	53.3
SRR5504418.fastq	13458	13455	9412	9412	9412	0	69.9
SRR5504419.fastq	7095	7095	3815	3815	3815	0	53.8
SRR5504420.fastq	7883	7883	5898	5898	5898	0	74.8
SRR5504421.fastq	8862	8862	6597	6597	6597	0	74.4
SRR5504422.fastq	5273	5273	4788	4788	4788	0	90.8
SRR5504423.fastq	1741	1741	1056	1056	939	11.1	53.9
SRR5504424.fastq	4868	4868	4195	4195	4195	0	86.2
SRR5504425.fastq	18181	18179	11517	11517	11517	0	63.3
SRR5504426.fastq	8426	8425	6848	6848	6789	0.9	80.6
SRR5504427.fastq	8171	8171	5052	5052	5052	0	61.8
SRR5504428.fastq	8212	8211	6061	6061	5629	7.1	68.5
SRR5504429.fastq	10822	10822	5258	5258	5258	0	48.6
SRR5504430.fastq	10393	10391	8873	8873	6960	21.6	67
SRR5504431.fastq	9533	9533	7232	7232	7232	0	75.9
SRR5504432.fastq	8804	8794	7897	7897	7897	0	89.7
SRR5504433.fastq	2864	2862	1680	1680	1680	0	58.7
SRR5504434.fastq	9661	9660	5085	5085	5085	0	52.6
SRR5504435.fastq	13570	13570	10903	10903	10881	0.2	80.2
SRR5504436.fastq	9	9	3	3	3	0	33.3
SRR5504437.fastq	8599	8597	5146	5146	5146	0	59.8
SRR5504438.fastq	12312	12310	10442	10442	10377	0.6	84.3
SRR5504439.fastq	9019	9019	6614	6614	6614	0	73.3
SRR5504440.fastq	11604	11603	7743	7743	7743	0	66.7
SRR5504441.fastq	9567	9567	5205	5205	5205	0	54.4
SRR5504442.fastq	12224	12222	8564	8564	8564	0	70.1
SRR5504443.fastq	7913	7912	5034	5034	5034	0	63.6
SRR5504444.fastq	13231	13231	13010	13010	13010	0	98.3
SRR5504445.fastq	8732	8732	6154	6154	6154	0	70.5
