id_1,id_2,cor,label
AJ305238,GB-GCA-900066275.1-FMFG01000089.1,0.05647042403757,positive
AJ305238,RS-GCF-900217715.1-NZ-OBMS01000001.1,0.0640794636580317,positive
AY305310,GB-GCA-000980215.1-LARH01000082.1,0.0512154847064099,negtive
GB-GCA-015554585.1-JADNIT010000076.1,MJ006-2-barcode53-umi132850bins-ubs-4,0.0591990084849133,negtive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-003461005.1-NZ-QTWG01000138.1,0.094977514653478,positive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-003481175.1-NZ-QUKF01000070.1,0.084938747769892,positive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-018784445.1-NZ-WQOH01000081.1,0.0646013477894665,positive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-018784865.1-NZ-WQPA01000083.1,0.0579401178649877,positive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-019130915.1-NZ-JAHOLF010000125.1,0.0948113935975426,negtive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-900217715.1-NZ-OBMS01000001.1,0.0876364264320829,negtive
GB-GCA-900066275.1-FMFG01000089.1,G900545585,0.0701126943174937,positive
GB-GCA-900066275.1-FMFG01000089.1,GB-GCA-000980215.1-LARH01000082.1,0.0730228949366784,negtive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-003473495.1-NZ-QUCI01000034.1,0.0620320668052602,negtive
GB-GCA-900066275.1-FMFG01000089.1,MJ006-1-barcode28-umi157746bins-ubs-3,0.0707224579863979,positive
GB-GCA-900066275.1-FMFG01000089.1,G000010425,0.0657987114848299,negtive
GB-GCA-900066275.1-FMFG01000089.1,MJ010-1-barcode30-umi141257bins-ubs-4,0.053410814072001,negtive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-902497365.1-NZ-LR699993.1,0.0597108254737878,positive
GB-GCA-902646515.1-CACRCQ010000098.1,RS-GCF-018784865.1-NZ-WQPA01000083.1,0.0592698541715505,negtive
GB-GCA-902646515.1-CACRCQ010000098.1,RS-GCF-019130915.1-NZ-JAHOLF010000125.1,0.153334070590776,positive
GB-GCA-902646515.1-CACRCQ010000098.1,RS-GCF-900217715.1-NZ-OBMS01000001.1,0.065567419976786,positive
GB-GCA-902646515.1-CACRCQ010000098.1,MJ006-1-barcode37-umi101248bins-ubs-4,0.0547891721587902,negtive
GB-GCA-902646515.1-CACRCQ010000098.1,MJ006-1-barcode37-umi141792bins-ubs-3,0.0662561400873456,negtive
GB-GCA-902646515.1-CACRCQ010000098.1,MJ006-2-barcode53-umi182866bins-ubs-3,0.0763116310484435,positive
GB-GCA-902646515.1-CACRCQ010000098.1,MJ010-1-barcode30-umi141257bins-ubs-4,0.0543251842203269,negtive
RS-GCF-000702865.1-NZ-JNKM01000001.1,MJ006-1-barcode28-umi157746bins-ubs-3,0.0505109472724771,positive
RS-GCF-003461005.1-NZ-QTWG01000138.1,RS-GCF-003481175.1-NZ-QUKF01000070.1,0.0723562821795244,positive
RS-GCF-003461005.1-NZ-QTWG01000138.1,RS-GCF-018784445.1-NZ-WQOH01000081.1,0.0658518682384289,positive
RS-GCF-003461005.1-NZ-QTWG01000138.1,RS-GCF-019130915.1-NZ-JAHOLF010000125.1,0.126462137049041,negtive
RS-GCF-003461005.1-NZ-QTWG01000138.1,RS-GCF-900217715.1-NZ-OBMS01000001.1,0.0642511760271187,negtive
RS-GCF-003461005.1-NZ-QTWG01000138.1,MJ006-1-barcode28-umi157746bins-ubs-3,0.0800202170637628,positive
RS-GCF-003461005.1-NZ-QTWG01000138.1,MJ006-2-barcode53-umi132850bins-ubs-4,0.0788278320525376,positive
RS-GCF-003481175.1-NZ-QUKF01000070.1,RS-GCF-018784865.1-NZ-WQPA01000083.1,0.0720913205880094,positive
RS-GCF-003481175.1-NZ-QUKF01000070.1,RS-GCF-019130915.1-NZ-JAHOLF010000125.1,0.0701524705730187,negtive
RS-GCF-003481175.1-NZ-QUKF01000070.1,RS-GCF-900217715.1-NZ-OBMS01000001.1,0.0669425755859384,negtive
RS-GCF-003481175.1-NZ-QUKF01000070.1,MJ006-1-barcode28-umi157746bins-ubs-3,0.073006957486042,positive
RS-GCF-005844755.1-NZ-SPHB01000048.1,RS-GCF-013301525.1-NZ-JAAIOL010000051.1,0.055627802168784,positive
RS-GCF-018784445.1-NZ-WQOH01000081.1,RS-GCF-018784865.1-NZ-WQPA01000083.1,0.0911111797594621,positive
RS-GCF-018784445.1-NZ-WQOH01000081.1,RS-GCF-019130915.1-NZ-JAHOLF010000125.1,0.102593542963132,negtive
RS-GCF-018784445.1-NZ-WQOH01000081.1,RS-GCF-900217715.1-NZ-OBMS01000001.1,0.0996046663446123,negtive
RS-GCF-018784445.1-NZ-WQOH01000081.1,G900545585,0.107535850099013,positive
RS-GCF-018784445.1-NZ-WQOH01000081.1,GB-GCA-000980215.1-LARH01000082.1,0.0877834843830737,negtive
RS-GCF-018784445.1-NZ-WQOH01000081.1,RS-GCF-013302845.1-NZ-JAAIQT010000087.1,0.0518042979311908,negtive
RS-GCF-018784445.1-NZ-WQOH01000081.1,MJ006-1-barcode28-umi157746bins-ubs-3,0.0915788120354905,positive
RS-GCF-018784445.1-NZ-WQOH01000081.1,MJ006-1-barcode37-umi141792bins-ubs-3,0.0686191983971567,negtive
RS-GCF-018784445.1-NZ-WQOH01000081.1,MJ006-2-barcode65-umi112744bins-ubs-6,0.0777614386221373,negtive
