id_1,id_2,cor,label
AJ305238,AY305310,0.0568045669432653,negtive
AJ305238,GB-GCA-015554585.1-JADNIT010000076.1,0.0858461916781064,negtive
AJ305238,RS-GCF-003461005.1-NZ-QTWG01000138.1,0.0624449398557947,positive
AJ305238,RS-GCF-018784445.1-NZ-WQOH01000081.1,0.0590078374516456,negtive
AJ305238,RS-GCF-900217715.1-NZ-OBMS01000001.1,0.0613775310108564,positive
AJ305238,G900545585,0.0681802390473561,negtive
AJ305238,MJ006-1-barcode37-umi141792bins-ubs-3,0.0558795944100318,positive
AJ305238,RS-GCF-902497365.1-NZ-LR699993.1,0.0538865031326705,negtive
AY305310,RS-GCF-000702865.1-NZ-JNKM01000001.1,0.0552033953594962,positive
AY305310,MJ006-2-barcode53-umi150828bins-ubs-3,0.0542030817203619,negtive
AY305310,RS-GCF-902497365.1-NZ-LR699993.1,0.0544838723571744,positive
GB-GCA-015554585.1-JADNIT010000076.1,GB-GCA-900066275.1-FMFG01000089.1,0.0804751333129846,negtive
GB-GCA-015554585.1-JADNIT010000076.1,GB-GCA-902646515.1-CACRCQ010000098.1,0.0959087537947141,positive
GB-GCA-015554585.1-JADNIT010000076.1,RS-GCF-000702865.1-NZ-JNKM01000001.1,0.0620057839180576,positive
GB-GCA-015554585.1-JADNIT010000076.1,RS-GCF-019130915.1-NZ-JAHOLF010000125.1,0.0608251049322935,positive
GB-GCA-015554585.1-JADNIT010000076.1,MJ006-1-barcode39-umi95963bins-ubs-4,0.0519572649492954,negtive
GB-GCA-015554585.1-JADNIT010000076.1,MJ006-1-barcode45-umi215926bins-ubs-3,0.0517234059369767,negtive
GB-GCA-015554585.1-JADNIT010000076.1,MJ006-2-barcode53-umi132850bins-ubs-4,0.058779099596279,negtive
GB-GCA-900066275.1-FMFG01000089.1,GB-GCA-902646515.1-CACRCQ010000098.1,0.0766124865234713,negtive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-003461005.1-NZ-QTWG01000138.1,0.101786800950096,positive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-003481175.1-NZ-QUKF01000070.1,0.0796100632267369,positive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-019130915.1-NZ-JAHOLF010000125.1,0.113497794465419,negtive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-900217715.1-NZ-OBMS01000001.1,0.121702561551131,negtive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-900291485.1-NZ-OLKO01000008.1,0.0977611819590661,positive
GB-GCA-900066275.1-FMFG01000089.1,GB-GCA-000980215.1-LARH01000082.1,0.0676749751328432,negtive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-013302845.1-NZ-JAAIQT010000087.1,0.0686727766025957,negtive
GB-GCA-900066275.1-FMFG01000089.1,MJ006-1-barcode28-umi157746bins-ubs-3,0.118129743662471,positive
GB-GCA-900066275.1-FMFG01000089.1,MJ006-1-barcode37-umi141792bins-ubs-3,0.0782183246731196,negtive
GB-GCA-900066275.1-FMFG01000089.1,MJ006-1-barcode43-umi102585bins-ubs-4,0.0551661362407961,negtive
GB-GCA-900066275.1-FMFG01000089.1,MJ006-2-barcode53-umi150828bins-ubs-3,0.0685187094792082,negtive
GB-GCA-900066275.1-FMFG01000089.1,MJ006-2-barcode65-umi112744bins-ubs-6,0.0552483490011686,negtive
GB-GCA-900066275.1-FMFG01000089.1,RS-GCF-902497365.1-NZ-LR699993.1,0.0696289119628358,positive
GB-GCA-902646515.1-CACRCQ010000098.1,RS-GCF-003461005.1-NZ-QTWG01000138.1,0.0730619372897956,negtive
GB-GCA-902646515.1-CACRCQ010000098.1,RS-GCF-003481175.1-NZ-QUKF01000070.1,0.0834553253464207,negtive
GB-GCA-902646515.1-CACRCQ010000098.1,RS-GCF-019130915.1-NZ-JAHOLF010000125.1,0.19404163908627,positive
GB-GCA-902646515.1-CACRCQ010000098.1,RS-GCF-900217715.1-NZ-OBMS01000001.1,0.0579592991128517,positive
GB-GCA-902646515.1-CACRCQ010000098.1,RS-GCF-900291485.1-NZ-OLKO01000008.1,0.083380339613037,negtive
GB-GCA-902646515.1-CACRCQ010000098.1,MJ006-1-barcode39-umi59141bins-ubs-6,0.0511342178959849,negtive
RS-GCF-000702865.1-NZ-JNKM01000001.1,RS-GCF-003461005.1-NZ-QTWG01000138.1,0.0565903010390028,negtive
RS-GCF-000702865.1-NZ-JNKM01000001.1,RS-GCF-005844755.1-NZ-SPHB01000048.1,0.0512811763650112,positive
RS-GCF-000702865.1-NZ-JNKM01000001.1,RS-GCF-018784445.1-NZ-WQOH01000081.1,0.0916542893936103,positive
RS-GCF-000702865.1-NZ-JNKM01000001.1,RS-GCF-018784865.1-NZ-WQPA01000083.1,0.0640390541126526,positive
RS-GCF-000702865.1-NZ-JNKM01000001.1,G000431455,0.0597425927001367,negtive
RS-GCF-000702865.1-NZ-JNKM01000001.1,G900545585,0.06312378737816,positive
RS-GCF-000702865.1-NZ-JNKM01000001.1,GB-GCA-000980425.1-LARJ01000053.1,0.0707098751611116,negtive
RS-GCF-000702865.1-NZ-JNKM01000001.1,G000010425,0.0565946424491849,negtive
RS-GCF-000702865.1-NZ-JNKM01000001.1,MJ006-2-barcode51-umi107579bins-ubs-5,0.0535317885792494,negtive
RS-GCF-000702865.1-NZ-JNKM01000001.1,MJ006-2-barcode59-umi224357bins-ubs-3,0.063249061993185,positive
RS-GCF-000702865.1-NZ-JNKM01000001.1,MJ006-2-barcode65-umi112744bins-ubs-6,0.0588666264993187,negtive
