"X"	"SRR3053238"	"SRR3053239"	"SRR3053240"	"SRR3053241"	"SRR3053246"	"SRR3053247"	"SRR3053248"	"SRR3053249"	"SRR3053254"	"SRR3053255"	"SRR3053256"	"SRR3053257"	"SRR3053262"	"SRR3053263"	"SRR3053264"	"SRR3053265"	"SRR3053270"	"SRR3053271"	"SRR3053272"	"SRR3053278"	"SRR3053279"	"SRR3053280"	"SRR3053281"	"SRR3053286"	"SRR3053287"	"SRR3053288"	"SRR3053289"	"SRR3053294"	"SRR3053295"	"SRR3053296"	"SRR3053297"	"SRR3053302"	"SRR3053303"	"SRR3053304"	"SRR3053310"	"SRR3053311"	"SRR3053312"	"SRR3053313"	"SRR3053318"	"SRR3053319"	"SRR3053320"	"SRR3053321"	"SRR3053325"	"SRR3053326"	"SRR3053327"	"SRR3053328"	"SRR3053333"	"SRR3053334"	"SRR3053335"	"SRR3053336"	"SRR3053341"	"SRR3053342"	"SRR3053343"	"SRR3053344"	"SRR3053349"	"SRR3053350"	"SRR3053351"	"SRR3053352"	"SRR3053357"	"SRR3053358"	"SRR3053359"	"SRR3053360"	"SRR3053387"	"SRR3053388"	"SRR3053389"	"SRR3053390"	"SRR3053410"	"SRR3053411"	"SRR3053434"	"SRR3053458"	"SRR3053462"	"SRR3053463"	"SRR3053488"	"SRR3053489"	"SRR3053537"	"SRR3053538"	"SRR3053539"	"SRR3053540"
"AB547651"	0	0.085351975288571	0	0	0	0	0	0	0	0	0	0	9.58444206809082	9.90299329804722	8.79443515967298	7.1731333550701	0	0	0	0.263152484529512	0	0.461988728442542	0.142622051563357	0	0	0	0	0.118759621728612	0	0	0.0824241372578791	0	0	0	0.732283726658456	0.707476166583041	0.98545065774183	1.30328764819642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0691391292015317	0	0	0	0	0.0963855421686747	0	0.163376963848097	0.170611296645855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB916501"	0	0	0	0	0	0	0	0	0.121589141806871	0.158222158294077	0.182273366127899	0.0952441424852372	0.402874835244087	0.444388243582564	0.239396540042459	0.440169546788393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00354559636930932	0.0713393971820938	0.089307461232443	0.0703248617921119	0.056276599486476	0	0	0	0	0	0	0	0	0	0	0	0	0.297779489154152	0.477484930859236	0.47496647295485	0.446489767942818	0	0	0	0
"AJ270490"	0.0481174064717912	0	0.117323871115435	0.0701262272089762	0.121011657456335	0.125431169645657	0.130572654355531	0.158554231704689	0	0	0.296468728039353	0	0	0	0	0	0.114213697766925	0.117341677630409	0.160288519334803	0	0	0	0	0	0.0863472640252627	0	0.04659325640269	0.145150648779415	0.137634408602151	0.0950616682104032	0.136650543348589	0.406401613004852	0.300827275006267	0.274673824833011	0.129813933362181	0	0.148747269093106	0.0896886123490008	0	0	0	0	0.0841027843389879	0.11147362697118	0.171641251716413	0.158586815268386	0.0310532704739858	0.0822514671883336	0.0810372771474878	0.0825593395252838	0.192814701137213	0.191372825058842	0.130231607977324	0.296057296837328	0	0	0	0	0.140871177015755	0.102854204165595	0.0645908926841315	0	0	0	0	0	0.0633570167896094	0.0656980891241506	0.0458685538300242	0.0916909067914506	0.174560390193813	0.137099633613048	0.217925793473402	0.0783315382355821	0.162638872981331	0.124167171411266	0.184714292568248	0.127437943262411
"AJ867049"	0.485985805365091	0.678751422532922	0.689635437532192	0.760168302945302	0.661530394094631	0.602399696324537	0.955045700429024	0.692712662787476	0.192280503322494	0.294868567729872	0.171293042867182	0.287848963955383	0.295938922185472	0.224000578066008	0.374904015538191	0.379617122362476	0.748296640541924	0.451587668456424	0.527616376143725	0.542751999342119	0.434940195723088	0.590184553612462	0.373011519473396	0.170123136746598	0.510682390092268	0.313899275261967	0.694239520400081	0	0.00860215053763441	0	0.0238596186799124	0.557620817843866	0.645525194284282	0.458830139209688	0.535898545418234	0.371299548419468	0.483428624552596	0.339135065444659	0.280763449703639	0.477787943478703	0.19611505416511	0.30621306304927	1.9468899864004	0.617183251767265	0.776902507769025	0.75989515649435	0	0	0	0	0.0334474481564554	0.021996876443545	0.219606240902939	0.0478655509856758	0.374531835205993	0.282130388893399	0.636830692895236	0.42207449614857	0.0333642261353105	0	0.0113983928266114	0.0617104689995644	1.43147004392517	0.758288434676017	0.79611529083217	0.568315742607967	0.644883920894239	0.476780418215265	0.329816744206365	0.588086505627925	0	0	0	0	0.991868056350933	0.94488188976378	1.04831358249772	0.784020390070922
"AY126616"	0	0	0	0	0	0	0	0	2.91813940336491	1.32331259664138	1.31763879128602	0.893178402861557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5710069649392	2.96957831987858	4.04228696917852	2.55105658771805	0	0	0	0	0.0370713623725672	0	0	0	0	0	0	0	0	0	0	0	13.2614555256065	10.2304692116771	10.0944345105051	8.03681582297072	0	0	0	0
"EF108443"	0	0	0	0	0	0	0	0	0.0395871624487488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.338684847151968	0.223655913978495	0.16574854970019	0.258117692991779	0	0	0	0	0	0	0	0.0680638665948215	0.064382772525499	0.0249034989416013	0	0	0	0.003613500036135	0.0220259465650536	0	0.153387871243109	0.133473162360568	0.167698658410733	0.411206862629363	0.314555333142694	0.245141850310258	0.122323074741171	0.0713393971820938	0.101485751400503	0.0429763044285128	0.239175547817523	0.0815569972196478	0.185137567498072	0.02659624992876	0.119790910410919	0	0	0	0	0	0	0	0	0	0.0590946696607966	0	0	0	0	0	0
"G000332875"	0.158787441356911	0.235734026987482	0.251817089223373	0.179523141654979	0.806744383042233	0.594147645689954	1.12292482745756	1.19300514146732	0.390216315566238	0.226545363011975	0.30744905130007	0.224352868965225	0.442664942428689	0.435355962208935	0.817561768824247	0.861707578368811	0.326887479815683	0.480034135760765	0.514258999532492	0.111017454410888	0	0.208015867256851	0.197476686780033	0.113415424497732	0.278778309567277	0.313899275261967	0.177054374330222	0.288102045304596	0.410752688172043	0.382684151513674	0.286315424158948	0.478860815323546	0.488844321885184	0.480679193457769	1.19828246180475	0.852985449071751	0.734439641147213	1.21920457411923	0.433907149541987	0.681101961980279	0.563441663553729	0.370517806289616	0.255887194903729	0.146818923327896	0.532991255329913	0.773110724433382	0.364170171922197	0.562422194558065	0.224044236819525	0.247678018575851	0.846023688663283	0.901871934185346	0.722657746227114	2.04580910509148	0.945247012662743	0.90119347243647	0.664179250258835	0.559248707396856	0.181649675625579	0.352275649267164	0.224168392256692	0.1125308552345	0.47715668130839	0.578693805410645	0.47308421732697	0.479270879710866	0.577001402905372	0.722678980365657	0.764475897167071	0.411028202858227	0.3516878449493	0.335657723673325	0.184398748323648	0.203661999412513	0.59557897148093	0.575408843125379	0.638103919781221	0.498670212765957
"G000431455"	0	0.670622662981629	0	0.0336605890603086	2.53317736275261	2.3353303295869	4.52154448796866	0.818940303562083	1.17630425561996	2.60347369556618	1.98963457484188	1.95991279869621	0.0273556986894133	0.0180645627472587	0.031618410949004	0.032605151613955	2.03615454294829	2.58862852469509	1.63627863487611	0.904586665570198	0.507430228343603	1.04007933628426	0.778935820076797	0.0189025707496219	0.061676617160902	0.133868808567604	0.0341683880286393	2.48735429953816	2.29032258064516	1.37961292838688	1.20599527145739	2.98027849536891	2.8871062087407	2.69367625944191	0.143128182937789	0.17059708981435	0.153395621252266	0.128927380251689	0.541674938317121	0.515062180203992	0.442037106213423	0.404201243225036	0.109154677546346	0.0924415443175639	0.119245501192455	0.110129732825268	0.0705756147136042	0.0466832651609461	0.0238344932786729	0.0283797729618163	0.0570574115610121	0.0329953146653175	0.104695998570006	0.0301375691391292	0.00891742464776173	0	0.0214881522142564	0.0105518624037143	0.785912882298424	1.3473900745693	1.21202910389635	0.980107448816611	5.41595130326206	3.24410616038085	3.77842152428985	3.43346515464998	0.217224057564375	0.0938544130345009	0.12450036039578	0.177058302769698	7.58054165062251	6.25457983689871	5.69680375502906	2.89043376089298	2.95498797388615	2.41974560872199	2.22136928465192	1.59574468085106
"G000434535"	0.81559003969686	0.304828483173468	0.924283179763063	0.740532959326788	0.568754790044774	0.495123038074962	0.294721134116769	0.835873279763554	0.130072105188746	0.0791110791470387	0.0636858749121574	0.0380976569940949	0.186516127427818	0.102968007659375	0.433623921586341	0.300433182728585	0	0	0	0	0	0	0	0.140419096997192	0.347856120787487	2.37270922771546	0.773448056284654	0.365075874202771	0.56989247311828	0.597182274655097	0.553109342125241	0	0	0	0.502612921479213	0.19568489713999	0.362571468414447	0.784775358053757	0.153143699838348	0.423570871878283	0.224131490474412	0.260281103591879	0.0662085749051607	0.122349102773246	0.124665751246658	0.345807361071342	1.83778900714225	0.884759025431265	0.986748021737058	0.823013415892673	0.588281588163538	0.536723785222498	0.531140675672225	0.595660190043965	0.100321027287319	0.138020621904685	0.0429763044285128	0.0668284618901903	0.144578313253012	0.123425044998714	0.0949866068884287	0.0834906345288224	0	0	0	0	0	0	0	0	0.0102682582466949	0	0	0	0	0	0	0
"G000436195"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61194704005872	1.56944691445847	1.90675946229383	4.71104231166151	0	0	0	0	0.682182985553772	0.720548834943574	2.16248950010744	2.49727410221237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
