	G000434535	G004558915	G900538515	G900539925	G902387315	GB-GCA-000980215.1-LARH01000082.1	GB-GCA-000980385.1-LARF01000079.1	GB-GCA-015554585.1-JADNIT010000076.1	GB-GCA-018336475.1-CP048741.1--6	GB-GCA-902646515.1-CACRCQ010000098.1	MJ006-1-barcode39-umi157933bins-ubs-3	MJ006-1-barcode43-umi123254bins-ubs-4	RS-GCF-000210395.1-NC-017175.1--13	RS-GCF-003438725.1-NZ-QSTT01000002.1	RS-GCF-003461545.1-NZ-QTXH01000007.1	RS-GCF-003473495.1-NZ-QUCI01000034.1	RS-GCF-009020435.1-NZ-WCUB01000245.1	RS-GCF-009663755.1-NZ-RDBS01000044.1	RS-GCF-009881395.1-NZ-WWVG01000042.1	RS-GCF-019130915.1-NZ-JAHOLF010000125.1	RS-GCF-900217715.1-NZ-OBMS01000001.1
G000434535	1	0.0548354698808249	0.0174739615295882	0.0818250371868922	0.100650778435304	0.0975865293244716	-0.028105943501768	0.0521284830469807	0.079508481620202	0.0812299461616708	0.101280596926886	0.14533172175229	0.0410491998011144	0.0523665126811216	0.0800384706777288	0.0156540351792082	-0.00194881237852346	0.0295731783912436	-0.107270624501266	-0.0363251801277162	0.00805806114375213
G004558915	0.0548354698808249	1	0.0485300217588341	0.130304101763366	0.107910858558807	0.0439331976845082	0.0568515632535216	-0.101682132455271	0.0970646293668894	0.036401198659657	0.0433350917639188	0.00680932564419896	0.0736519098797469	0.121927115870666	0.0910706921221875	0.0260958185397928	0.0144027363435894	0.0742626311464712	-0.00637928595095088	0.0425674946727381	0.198812741057749
G900538515	0.0174739615295882	0.0485300217588341	1	-0.0452588485290295	0.00625916784081568	0.0392182658864045	0.0595140312452698	0.027192324848809	-0.031533824709928	0.0450577333533453	0.0200783652781126	0.154089452349472	0.0384987726195582	-0.0369753497694756	0.043929704366124	0.180618462965888	0.0786028343263599	-0.0264165955682104	0.188880472095696	0.111140526355339	0.0637925777477006
G900539925	0.0818250371868922	0.130304101763366	-0.0452588485290295	1	0.0350102290064239	0.251646769119565	0.0391118951107839	0.0149082158344031	0.11525925328698	-0.124414848873897	0.0441193933797377	0.069834247768053	0.00936251608160723	0.0951219895230248	0.0749988403207962	0.0403155642833459	0.0235695322145349	0.0306842660628332	0.0161819043907012	0.0013177401266392	0.0866055315213096
G902387315	0.100650778435304	0.107910858558807	0.00625916784081568	0.0350102290064239	1	0.135511977594105	-0.00326156733961552	0.0941972358726263	-0.0183764790662989	0.0653186722744473	0.0368268134643053	0.147384785988554	-0.0673399059061271	0.0346686902673884	0.0633780295076838	0.12998612876392	0.0754990622537006	0.0379316163723171	0.0386549590955368	0.0181191750320517	0.0275451622795121
GB-GCA-000980215.1-LARH01000082.1	0.0975865293244716	0.0439331976845082	0.0392182658864045	0.251646769119565	0.135511977594105	1	0.0136430748790675	-0.130840291433275	0.241658356786815	-0.0349111981589497	0.0763614248796046	0.167216172715573	0.0784442918592828	0.133913304137451	0.113196698338027	-0.0067236717340893	0.016521269090138	0.0341179572432416	-0.0388771863139658	-0.0653709835902947	0.0427372398353682
GB-GCA-000980385.1-LARF01000079.1	-0.028105943501768	0.0568515632535216	0.0595140312452698	0.0391118951107839	-0.00326156733961552	0.0136430748790675	1	0.0892239333093598	0.017717383136373	0.0987341510278799	0.0360110416430062	0.0314597918030232	0.0812938756322815	-0.0180401912427587	-0.00910638612470103	0.0647266061314307	0.0110874467238279	0.00433303243334961	0.119059513276057	0.0486431202057078	0.0419183605175237
GB-GCA-015554585.1-JADNIT010000076.1	0.0521284830469807	-0.101682132455271	0.027192324848809	0.0149082158344031	0.0941972358726263	-0.130840291433275	0.0892239333093598	1	0.034756541773657	0.0545741982003088	0.219920073036022	0.0189737348607093	0.0584602804930556	0.0578473004994236	0.127263647033638	0.0298450766017486	0.161975639340816	0.0286765073209948	0.101188733506862	0.222348707855257	0.0933701497583541
GB-GCA-018336475.1-CP048741.1--6	0.079508481620202	0.0970646293668894	-0.031533824709928	0.11525925328698	-0.0183764790662989	0.241658356786815	0.017717383136373	0.034756541773657	1	-0.0647597569230246	0.190548198771372	0.123981781286781	-0.000892511420453188	0.0856204859033699	-0.0389037946141033	-0.0310767494391474	-0.0912281408457035	0.0258807503877231	-0.011543999723987	0.021783979162538	0.0475527421817948
GB-GCA-902646515.1-CACRCQ010000098.1	0.0812299461616708	0.036401198659657	0.0450577333533453	-0.124414848873897	0.0653186722744473	-0.0349111981589497	0.0987341510278799	0.0545741982003088	-0.0647597569230246	1	0.016482867940644	-0.0138529474537098	0.12568034308086	-0.0291905869467217	-0.060211781001221	0.00616701598860503	0.150644046298241	0.18918471926693	0.0189529206001464	0.127102023225833	-0.0140645825253162
MJ006-1-barcode39-umi157933bins-ubs-3	0.101280596926886	0.0433350917639188	0.0200783652781126	0.0441193933797377	0.0368268134643053	0.0763614248796046	0.0360110416430062	0.219920073036022	0.190548198771372	0.016482867940644	1	0.156723677026879	0.0345355058228415	0.0747225217671609	0.146760139070596	0.0249134609439762	0.00731465328872117	-0.0343030037529648	-0.0694230659659368	0.009568279436658	-0.0173957204375163
MJ006-1-barcode43-umi123254bins-ubs-4	0.14533172175229	0.00680932564419896	0.154089452349472	0.069834247768053	0.147384785988554	0.167216172715573	0.0314597918030232	0.0189737348607093	0.123981781286781	-0.0138529474537098	0.156723677026879	1	0.07761440285309	0.203340664509879	-0.054239918961962	0.0440965656353515	0.0782123085930438	-0.0175792894924895	0.0483295122704493	-0.0127963949796677	0.0628483171903544
RS-GCF-000210395.1-NC-017175.1--13	0.0410491998011144	0.0736519098797469	0.0384987726195582	0.00936251608160723	-0.0673399059061271	0.0784442918592828	0.0812938756322815	0.0584602804930556	-0.000892511420453188	0.12568034308086	0.0345355058228415	0.07761440285309	1	0.0374252688378727	0.0270548147784679	0.0148620171086613	0.164311915365087	0.0739360020166686	0.00688469222961226	0.122445700269745	0.00495131698140026
RS-GCF-003438725.1-NZ-QSTT01000002.1	0.0523665126811216	0.121927115870666	-0.0369753497694756	0.0951219895230248	0.0346686902673884	0.133913304137451	-0.0180401912427587	0.0578473004994236	0.0856204859033699	-0.0291905869467217	0.0747225217671609	0.203340664509879	0.0374252688378727	1	0.056244974564396	-0.0248088902509291	0.0114529665439476	-0.0276383163353596	0.0706232177137764	0.00156785086856687	0.098120805678968
RS-GCF-003461545.1-NZ-QTXH01000007.1	0.0800384706777288	0.0910706921221875	0.043929704366124	0.0749988403207962	0.0633780295076838	0.113196698338027	-0.00910638612470103	0.127263647033638	-0.0389037946141033	-0.060211781001221	0.146760139070596	-0.054239918961962	0.0270548147784679	0.056244974564396	1	0.132058086962256	-0.00949622074039323	-0.0525533496827581	-0.0100246133546836	-0.0273930865458762	0.0305759825849363
RS-GCF-003473495.1-NZ-QUCI01000034.1	0.0156540351792082	0.0260958185397928	0.180618462965888	0.0403155642833459	0.12998612876392	-0.0067236717340893	0.0647266061314307	0.0298450766017486	-0.0310767494391474	0.00616701598860503	0.0249134609439762	0.0440965656353515	0.0148620171086613	-0.0248088902509291	0.132058086962256	1	-0.0444378039394343	0.0228835747871228	0.232488025185576	-0.0256133552461974	0.0490320800655267
RS-GCF-009020435.1-NZ-WCUB01000245.1	-0.00194881237852346	0.0144027363435894	0.0786028343263599	0.0235695322145349	0.0754990622537006	0.016521269090138	0.0110874467238279	0.161975639340816	-0.0912281408457035	0.150644046298241	0.00731465328872117	0.0782123085930438	0.164311915365087	0.0114529665439476	-0.00949622074039323	-0.0444378039394343	1	0.262553179989892	0.0129941245724666	0.321767304186201	0.0111617385480282
RS-GCF-009663755.1-NZ-RDBS01000044.1	0.0295731783912436	0.0742626311464712	-0.0264165955682104	0.0306842660628332	0.0379316163723171	0.0341179572432416	0.00433303243334961	0.0286765073209948	0.0258807503877231	0.18918471926693	-0.0343030037529648	-0.0175792894924895	0.0739360020166686	-0.0276383163353596	-0.0525533496827581	0.0228835747871228	0.262553179989892	1	0.0921031212730047	0.246138698090379	-0.0202886254911011
RS-GCF-009881395.1-NZ-WWVG01000042.1	-0.107270624501266	-0.00637928595095088	0.188880472095696	0.0161819043907012	0.0386549590955368	-0.0388771863139658	0.119059513276057	0.101188733506862	-0.011543999723987	0.0189529206001464	-0.0694230659659368	0.0483295122704493	0.00688469222961226	0.0706232177137764	-0.0100246133546836	0.232488025185576	0.0129941245724666	0.0921031212730047	1	0.193189444162352	0.00920186447573248
RS-GCF-019130915.1-NZ-JAHOLF010000125.1	-0.0363251801277162	0.0425674946727381	0.111140526355339	0.0013177401266392	0.0181191750320517	-0.0653709835902947	0.0486431202057078	0.222348707855257	0.021783979162538	0.127102023225833	0.009568279436658	-0.0127963949796677	0.122445700269745	0.00156785086856687	-0.0273930865458762	-0.0256133552461974	0.321767304186201	0.246138698090379	0.193189444162352	1	0.151717382173528
RS-GCF-900217715.1-NZ-OBMS01000001.1	0.00805806114375213	0.198812741057749	0.0637925777477006	0.0866055315213096	0.0275451622795121	0.0427372398353682	0.0419183605175237	0.0933701497583541	0.0475527421817948	-0.0140645825253162	-0.0173957204375163	0.0628483171903544	0.00495131698140026	0.098120805678968	0.0305759825849363	0.0490320800655267	0.0111617385480282	-0.0202886254911011	0.00920186447573248	0.151717382173528	1
