	dinput	filter	forwd	length	nonchim	chim_perc	retained_perc
SRR6443835_1.fastq	46334	46331	45954	45954	45269	1.5	97.7
SRR6443836_1.fastq	27379	27379	27061	27061	26719	1.3	97.6
SRR6443837_1.fastq	13428	13428	13130	13130	12526	4.6	93.3
SRR6443838_1.fastq	28713	28713	28289	28289	26641	5.8	92.8
SRR6443839_1.fastq	37695	37695	36987	36987	36422	1.5	96.6
SRR6443840_1.fastq	27154	27154	27004	27004	27004	0	99.4
SRR6443841_1.fastq	35966	35965	35563	35563	33424	6	92.9
SRR6443842_1.fastq	31654	31654	31383	31383	30667	2.3	96.9
SRR6443843_1.fastq	26476	26476	26189	26189	25254	3.6	95.4
SRR6443844_1.fastq	14405	14405	14138	14138	14044	0.7	97.5
SRR6443845_1.fastq	20643	20643	20513	20513	20335	0.9	98.5
SRR6443846_1.fastq	26863	26863	26591	26591	24801	6.7	92.3
SRR6443847_1.fastq	35313	35313	34998	34998	33764	3.5	95.6
SRR6443848_1.fastq	40110	40110	39696	39696	37689	5.1	94
SRR6443849_1.fastq	50510	50508	49928	49928	47542	4.8	94.1
SRR6443850_1.fastq	28983	28983	28399	28399	27407	3.5	94.6
SRR6443851_1.fastq	21559	21559	21367	21367	21187	0.8	98.3
SRR6443852_1.fastq	15195	15195	14958	14958	14584	2.5	96
SRR6443853_1.fastq	28328	28328	27946	27946	25140	10	88.7
SRR6443854_1.fastq	27584	27584	27453	27453	27364	0.3	99.2
SRR6443855_1.fastq	21716	21716	21506	21506	21222	1.3	97.7
SRR6443856_1.fastq	40237	40237	39656	39656	37871	4.5	94.1
SRR6443857_1.fastq	24310	24310	24200	24200	24057	0.6	99
SRR6443858_1.fastq	48535	48534	48121	48121	45836	4.7	94.4
SRR6443859_1.fastq	45419	45418	44886	44886	40883	8.9	90
SRR6443860_1.fastq	40344	40344	39596	39596	37549	5.2	93.1
SRR6443861_1.fastq	30172	30172	29868	29868	29419	1.5	97.5
SRR6443862_1.fastq	37352	37352	37126	37126	36393	2	97.4
SRR6443865_1.fastq	7547	7547	7386	7386	7303	1.1	96.8
SRR6443866_1.fastq	37712	37712	37336	37336	36507	2.2	96.8
SRR6443867_1.fastq	31188	31188	30564	30564	29568	3.3	94.8
SRR6443868_1.fastq	19310	19310	19173	19173	19072	0.5	98.8
SRR6443869_1.fastq	26826	26826	26353	26353	25192	4.4	93.9
SRR6443870_1.fastq	17451	17451	17113	17113	16928	1.1	97
SRR6443871_1.fastq	37342	37342	37000	37000	36626	1	98.1
SRR6443872_1.fastq	33547	33547	33159	33159	31727	4.3	94.6
SRR6443873_1.fastq	34915	34915	34485	34485	34004	1.4	97.4
SRR6443874_1.fastq	35084	35084	34486	34486	33003	4.3	94.1
SRR6443875_1.fastq	50308	50307	49954	49954	49107	1.7	97.6
SRR6443876_1.fastq	30749	30749	29776	29776	25708	13.7	83.6
SRR6443877_1.fastq	47506	47505	46864	46864	44160	5.8	93
SRR6443878_1.fastq	40529	40529	39923	39923	38296	4.1	94.5
SRR6443879_1.fastq	9651	9651	9575	9575	9575	0	99.2
SRR6443880_1.fastq	12661	12661	12520	12520	12347	1.4	97.5
SRR6443881_1.fastq	46107	46106	45547	45547	43708	4	94.8
SRR6443882_1.fastq	32922	32922	32293	32293	28500	11.7	86.6
SRR6443883_1.fastq	35212	35212	34953	34953	32859	6	93.3
SRR6443884_1.fastq	42742	42741	42083	42083	40476	3.8	94.7
SRR6443885_1.fastq	31486	31485	31272	31272	31023	0.8	98.5
SRR6443886_1.fastq	20938	20938	20610	20610	19771	4.1	94.4
SRR6443887_1.fastq	15498	15498	15305	15305	15302	0	98.7
SRR6443888_1.fastq	38060	38060	37744	37744	36989	2	97.2
SRR6443889_1.fastq	50981	50980	50590	50590	49160	2.8	96.4
SRR6443890_1.fastq	49120	49120	48451	48451	45848	5.4	93.3
SRR6443891_1.fastq	26517	26517	26346	26346	25594	2.9	96.5
SRR6443892_1.fastq	44043	44042	43679	43679	41875	4.1	95.1
SRR6443893_1.fastq	28652	28652	28497	28497	28161	1.2	98.3
SRR6443894_1.fastq	39424	39424	39087	39087	38762	0.8	98.3
SRR6443895_1.fastq	35047	35046	34402	34402	32877	4.4	93.8
SRR6443896_1.fastq	20408	20408	20116	20116	19757	1.8	96.8
SRR6443897_1.fastq	45065	45065	44815	44815	44633	0.4	99
SRR6443898_1.fastq	42016	42013	41735	41735	41649	0.2	99.1
SRR6443899_1.fastq	30672	30672	30373	30373	30010	1.2	97.8
SRR6443900_1.fastq	38641	38641	38264	38264	37411	2.2	96.8
SRR6443901_1.fastq	24358	24358	24126	24126	23711	1.7	97.3
SRR6443902_1.fastq	34204	34204	33913	33913	32855	3.1	96.1
SRR6443903_1.fastq	15232	15232	15140	15140	15140	0	99.4
SRR6443905_1.fastq	23036	23036	22609	22609	22453	0.7	97.5
SRR6443906_1.fastq	54013	54013	53067	53067	49518	6.7	91.7
SRR6443907_1.fastq	20291	20290	20059	20059	20018	0.2	98.7
SRR6443908_1.fastq	40786	40786	40102	40102	39350	1.9	96.5
SRR6443909_1.fastq	36049	36049	35735	35735	33864	5.2	93.9
SRR6443910_1.fastq	26113	26113	25433	25433	22713	10.7	87
SRR6443911_1.fastq	36508	36508	36207	36207	35570	1.8	97.4
SRR6443912_1.fastq	107614	107614	106382	106382	96895	8.9	90
SRR6443913_1.fastq	17728	17728	17465	17465	17052	2.4	96.2
SRR6443914_1.fastq	18963	18963	18842	18842	18580	1.4	98
SRR6443915_1.fastq	33036	33036	32805	32805	31759	3.2	96.1
SRR6443916_1.fastq	42098	42097	41766	41766	40722	2.5	96.7
SRR6443917_1.fastq	35484	35484	35035	35035	34014	2.9	95.9
SRR6443918_1.fastq	31232	31232	30787	30787	29527	4.1	94.5
SRR6443919_1.fastq	63467	63467	62312	62312	51714	17	81.5
SRR6443920_1.fastq	44160	44158	43589	43589	42420	2.7	96.1
SRR6443921_1.fastq	40039	40038	39460	39460	38131	3.4	95.2
SRR6443922_1.fastq	25185	25185	24748	24748	24190	2.3	96
SRR6443923_1.fastq	18450	18450	18340	18340	18209	0.7	98.7
SRR6443924_1.fastq	25142	25142	24954	24954	24769	0.7	98.5
SRR6443925_1.fastq	35423	35423	35164	35164	34822	1	98.3
SRR6443926_1.fastq	43005	43005	42521	42521	40389	5	93.9
SRR6443927_1.fastq	25882	25881	25528	25528	24837	2.7	96
SRR6443928_1.fastq	8873	8873	8657	8657	8367	3.3	94.3
SRR6443929_1.fastq	34084	34082	33641	33641	32468	3.5	95.3
SRR6443930_1.fastq	26905	26905	26649	26649	24668	7.4	91.7
SRR6443931_1.fastq	29459	29459	28839	28839	27956	3.1	94.9
SRR6443932_1.fastq	26943	26943	26761	26761	26613	0.6	98.8
SRR6443933_1.fastq	17642	17642	17310	17310	17199	0.6	97.5
SRR6443934_1.fastq	25315	25315	25115	25115	24895	0.9	98.3
SRR6443935_1.fastq	23477	23477	23137	23137	21992	4.9	93.7
SRR6443936_1.fastq	31917	31917	31345	31345	30012	4.3	94
SRR6443937_1.fastq	35052	35049	34689	34689	34321	1.1	97.9
SRR6443938_1.fastq	14408	14408	14337	14337	13748	4.1	95.4
