	dinput	filter	forwd	length	nonchim	chim_perc	retained_perc
SRR6443939_1.fastq	25068	25068	24622	24622	24038	2.4	95.9
SRR6443940_1.fastq	93257	93257	92666	92666	91777	1	98.4
SRR6443941_1.fastq	55942	55942	55449	55449	52653	5	94.1
SRR6443942_1.fastq	23052	23052	22609	22609	22249	1.6	96.5
SRR6443943_1.fastq	18767	18767	18454	18454	18211	1.3	97
SRR6443944_1.fastq	18689	18688	18480	18480	18003	2.6	96.3
SRR6443945_1.fastq	72650	72650	71640	71640	65400	8.7	90
SRR6443946_1.fastq	18186	18186	18074	18074	18015	0.3	99.1
SRR6443947_1.fastq	42822	42822	42563	42563	41102	3.4	96
SRR6443948_1.fastq	46272	46272	45950	45950	45232	1.6	97.8
SRR6443949_1.fastq	20786	20786	20434	20434	20328	0.5	97.8
SRR6443950_1.fastq	21850	21850	21653	21653	21215	2	97.1
SRR6443951_1.fastq	22695	22695	22514	22514	22416	0.4	98.8
SRR6443952_1.fastq	82351	82351	81648	81648	78325	4.1	95.1
SRR6443953_1.fastq	29338	29338	29094	29094	29004	0.3	98.9
SRR6443954_1.fastq	22190	22190	21787	21787	21323	2.1	96.1
SRR6443955_1.fastq	34963	34962	34581	34581	33666	2.6	96.3
SRR6443956_1.fastq	28769	28769	28490	28490	27954	1.9	97.2
SRR6443958_1.fastq	21152	21152	20936	20936	20420	2.5	96.5
SRR6443959_1.fastq	19509	19509	19069	19069	18684	2	95.8
SRR6443960_1.fastq	52730	52730	52299	52299	50571	3.3	95.9
SRR6443961_1.fastq	16204	16204	15936	15936	15306	4	94.5
SRR6443962_1.fastq	30831	30831	30498	30498	30351	0.5	98.4
SRR6443963_1.fastq	24541	24541	24297	24297	23736	2.3	96.7
SRR6443964_1.fastq	24570	24570	24396	24396	24273	0.5	98.8
SRR6443965_1.fastq	20551	20551	20338	20338	19788	2.7	96.3
SRR6443966_1.fastq	51685	51685	50821	50821	48119	5.3	93.1
SRR6443967_1.fastq	22533	22533	22258	22258	21109	5.2	93.7
SRR6443968_1.fastq	27817	27817	27554	27554	27051	1.8	97.2
SRR6443969_1.fastq	42226	42226	41932	41932	41057	2.1	97.2
SRR6443970_1.fastq	19973	19973	19774	19774	19774	0	99
SRR6443971_1.fastq	16631	16631	16487	16487	16487	0	99.1
SRR6443972_1.fastq	19153	19153	18905	18905	18544	1.9	96.8
SRR6443973_1.fastq	37100	37098	36686	36686	36231	1.2	97.7
SRR6443974_1.fastq	19260	19260	18896	18896	18544	1.9	96.3
SRR6443975_1.fastq	47979	47978	47176	47176	44963	4.7	93.7
SRR6443976_1.fastq	25459	25459	25310	25310	24963	1.4	98.1
SRR6443977_1.fastq	38296	38295	38074	38074	37678	1	98.4
SRR6443978_1.fastq	32441	32441	32109	32109	31107	3.1	95.9
SRR6443980_1.fastq	25796	25796	25284	25284	24455	3.3	94.8
SRR6443981_1.fastq	11962	11962	11857	11857	11065	6.7	92.5
SRR6443982_1.fastq	36562	36562	36351	36351	34791	4.3	95.2
SRR6443983_1.fastq	30784	30784	30577	30577	29481	3.6	95.8
SRR6443984_1.fastq	19884	19884	19622	19622	18547	5.5	93.3
SRR6443985_1.fastq	40453	40453	40051	40051	39483	1.4	97.6
SRR6443986_1.fastq	31253	31253	30901	30901	28724	7	91.9
SRR6443987_1.fastq	28191	28191	27860	27860	27408	1.6	97.2
SRR6443988_1.fastq	21153	21153	20674	20674	19818	4.1	93.7
SRR6443989_1.fastq	34795	34794	34054	34054	31033	8.9	89.2
SRR6443990_1.fastq	31184	31184	30528	30528	29938	1.9	96
SRR6443991_1.fastq	27847	27847	27521	27521	26799	2.6	96.2
SRR6443992_1.fastq	19595	19595	19428	19428	19008	2.2	97
SRR6443993_1.fastq	29378	29378	28943	28943	28018	3.2	95.4
SRR6443994_1.fastq	34386	34386	34210	34210	33860	1	98.5
SRR6443995_1.fastq	39786	39785	39590	39590	39155	1.1	98.4
SRR6443996_1.fastq	22870	22870	22438	22438	20681	7.8	90.4
SRR6443997_1.fastq	40946	40946	40279	40279	39273	2.5	95.9
SRR6443998_1.fastq	22760	22760	22642	22642	22195	2	97.5
SRR6443999_1.fastq	43776	43776	43368	43368	40432	6.8	92.4
SRR6444000_1.fastq	49596	49596	48670	48670	38888	20.1	78.4
SRR6444001_1.fastq	43089	43088	42564	42564	39819	6.4	92.4
SRR6444002_1.fastq	23962	23962	23780	23780	23780	0	99.2
SRR6444003_1.fastq	11219	11219	11094	11094	10902	1.7	97.2
SRR6444004_1.fastq	34705	34705	34302	34302	32679	4.7	94.2
SRR6444005_1.fastq	25628	25628	25403	25403	25224	0.7	98.4
SRR6444006_1.fastq	23483	23483	22728	22728	21446	5.6	91.3
SRR6444007_1.fastq	13376	13376	13235	13235	13207	0.2	98.7
SRR6444008_1.fastq	20845	20845	20622	20622	20225	1.9	97
SRR6444009_1.fastq	48314	48313	47831	47831	43784	8.5	90.6
SRR6444010_1.fastq	23761	23761	23471	23471	22891	2.5	96.3
SRR6444011_1.fastq	22182	22182	21930	21930	21865	0.3	98.6
SRR6444012_1.fastq	27779	27779	27576	27576	27135	1.6	97.7
SRR6444013_1.fastq	24782	24782	24368	24368	23980	1.6	96.8
SRR6444014_1.fastq	47146	47146	46472	46472	44412	4.4	94.2
SRR6444015_1.fastq	12725	12725	12431	12431	11255	9.5	88.4
SRR6444016_1.fastq	46486	46486	46023	46023	45511	1.1	97.9
SRR6444017_1.fastq	21482	21482	21339	21339	21290	0.2	99.1
SRR6444018_1.fastq	29272	29272	29028	29028	27689	4.6	94.6
SRR6444019_1.fastq	26853	26853	26669	26669	26634	0.1	99.2
SRR6444020_1.fastq	19226	19226	19040	19040	18710	1.7	97.3
SRR6444021_1.fastq	30172	30172	29724	29724	28368	4.6	94
SRR6444022_1.fastq	42201	42201	41851	41851	39868	4.7	94.5
SRR6444023_1.fastq	44576	44574	44069	44069	41919	4.9	94
SRR6444024_1.fastq	35897	35897	35285	35285	33886	4	94.4
SRR6444025_1.fastq	23392	23392	23151	23151	22593	2.4	96.6
SRR6444026_1.fastq	19144	19144	18813	18813	18118	3.7	94.6
SRR6444027_1.fastq	22473	22473	21870	21870	21060	3.7	93.7
SRR6444028_1.fastq	29737	29737	29521	29521	29296	0.8	98.5
SRR6444029_1.fastq	27253	27253	27110	27110	27065	0.2	99.3
SRR6444030_1.fastq	28005	28005	27480	27480	26712	2.8	95.4
SRR6444031_1.fastq	20918	20918	20660	20660	20245	2	96.8
SRR6444032_1.fastq	26343	26343	26125	26125	25120	3.8	95.4
SRR6444033_1.fastq	68081	68081	67596	67596	66660	1.4	97.9
SRR6444035_1.fastq	37617	37616	37474	37474	37141	0.9	98.7
SRR6444036_1.fastq	14049	14049	13884	13884	13491	2.8	96
SRR6444037_1.fastq	36839	36839	36284	36284	34547	4.8	93.8
SRR6444038_1.fastq	10420	10420	10241	10241	9851	3.8	94.5
SRR6444039_1.fastq	11968	11968	11777	11777	11611	1.4	97
SRR6444040_1.fastq	24685	24685	24500	24500	24122	1.5	97.7
SRR6444041_1.fastq	15110	15110	14974	14974	14844	0.9	98.2
SRR6444042_1.fastq	17013	17013	16931	16931	16894	0.2	99.3
SRR6444043_1.fastq	24780	24780	24305	24305	23363	3.9	94.3
SRR6444044_1.fastq	29442	29442	29094	29094	28585	1.7	97.1
SRR6444045_1.fastq	31502	31502	31159	31159	30973	0.6	98.3
SRR6444046_1.fastq	45626	45626	45199	45199	42977	4.9	94.2
SRR6444047_1.fastq	29232	29232	29136	29136	29029	0.4	99.3
SRR6444048_1.fastq	34803	34803	34458	34458	32267	6.4	92.7
SRR6444049_1.fastq	33100	33100	32494	32494	31490	3.1	95.1
SRR6444050_1.fastq	28057	28057	27534	27534	27004	1.9	96.2
SRR6444051_1.fastq	32219	32219	31903	31903	31378	1.6	97.4
SRR6444052_1.fastq	45915	45913	45262	45262	43476	3.9	94.7
SRR6444053_1.fastq	32243	32243	31976	31976	29898	6.5	92.7
SRR6444054_1.fastq	29067	29067	28701	28701	27193	5.3	93.6
SRR6444055_1.fastq	38074	38074	37761	37761	36628	3	96.2
SRR6444056_1.fastq	37868	37868	37598	37598	36770	2.2	97.1
SRR6444057_1.fastq	28904	28904	28787	28787	28771	0.1	99.5
SRR6444058_1.fastq	15189	15188	14904	14904	14714	1.3	96.9
SRR6444059_1.fastq	29577	29577	29369	29369	28336	3.5	95.8
SRR6444060_1.fastq	34685	34685	34396	34396	33579	2.4	96.8
SRR6444061_1.fastq	41763	41763	41396	41396	39834	3.8	95.4
SRR6444063_1.fastq	19570	19570	19328	19328	19185	0.7	98
SRR6444064_1.fastq	27470	27470	27313	27313	26598	2.6	96.8
SRR6444065_1.fastq	53467	53466	53083	53083	52174	1.7	97.6
SRR6444066_1.fastq	21462	21462	21268	21268	21014	1.2	97.9
SRR6444067_1.fastq	49700	49699	48822	48822	46057	5.7	92.7
SRR6444068_1.fastq	46383	46382	45732	45732	39836	12.9	85.9
SRR6444069_1.fastq	10524	10524	10246	10246	10164	0.8	96.6
SRR6444070_1.fastq	34051	34051	33688	33688	33336	1	97.9
SRR6444071_1.fastq	18324	18324	17780	17780	17090	3.9	93.3
SRR6444072_1.fastq	18975	18975	18734	18734	17971	4.1	94.7
SRR6444073_1.fastq	45945	45945	45315	45315	43414	4.2	94.5
SRR6444074_1.fastq	22105	22105	21614	21614	21357	1.2	96.6
SRR6444075_1.fastq	23806	23806	23577	23577	22646	3.9	95.1
SRR6444076_1.fastq	37070	37069	36854	36854	35806	2.8	96.6
SRR6444077_1.fastq	31169	31169	30673	30673	29337	4.4	94.1
SRR6444078_1.fastq	30136	30136	29788	29788	28843	3.2	95.7
SRR6444079_1.fastq	17166	17166	17067	17067	16571	2.9	96.5
SRR6444080_1.fastq	34256	34256	34005	34005	33486	1.5	97.8
SRR6444081_1.fastq	36171	36170	35956	35956	35677	0.8	98.6
SRR6444082_1.fastq	37387	37387	37077	37077	35657	3.8	95.4
SRR6444083_1.fastq	41914	41913	41404	41404	40728	1.6	97.2
SRR6444084_1.fastq	20697	20697	20290	20290	18399	9.3	88.9
SRR6444085_1.fastq	21736	21736	21455	21455	21447	0	98.7
SRR6444086_1.fastq	11616	11616	11407	11407	9742	14.6	83.9
SRR6444087_1.fastq	20418	20418	19951	19951	18931	5.1	92.7
SRR6444088_1.fastq	28871	28871	28471	28471	28271	0.7	97.9
SRR6444089_1.fastq	54622	54621	53141	53141	45856	13.7	84
SRR6444090_1.fastq	34188	34188	33666	33666	32407	3.7	94.8
SRR6444091_1.fastq	29225	29225	28640	28640	28294	1.2	96.8
SRR6444092_1.fastq	15997	15996	15827	15827	15683	0.9	98
SRR6444093_1.fastq	22928	22927	22566	22566	22166	1.8	96.7
SRR6444094_1.fastq	31361	31361	31101	31101	29445	5.3	93.9
SRR6444095_1.fastq	30672	30672	30387	30387	27584	9.2	89.9
SRR6444096_1.fastq	30246	30246	30092	30092	29962	0.4	99.1
SRR6444097_1.fastq	40728	40728	40302	40302	39749	1.4	97.6
SRR6444098_1.fastq	22613	22613	22184	22184	21243	4.2	93.9
SRR6444099_1.fastq	26522	26522	25863	25863	24546	5.1	92.5
SRR6444100_1.fastq	18104	18104	17672	17672	17186	2.8	94.9
SRR6444101_1.fastq	18779	18779	18619	18619	17641	5.3	93.9
SRR6444102_1.fastq	40624	40624	39975	39975	37839	5.3	93.1
SRR6444103_1.fastq	20691	20691	20407	20407	19896	2.5	96.2
SRR6444104_1.fastq	30143	30143	29763	29763	26243	11.8	87.1
SRR6444105_1.fastq	23280	23280	23126	23126	23027	0.4	98.9
SRR6444106_1.fastq	28983	28983	28838	28838	28782	0.2	99.3
SRR6444107_1.fastq	10958	10958	10811	10811	10670	1.3	97.4
SRR6444108_1.fastq	29607	29606	29390	29390	27704	5.7	93.6
SRR6444109_1.fastq	50757	50757	50471	50471	48081	4.7	94.7
SRR6444110_1.fastq	36329	36329	36081	36081	35230	2.4	97
SRR6444111_1.fastq	28951	28951	28578	28578	27854	2.5	96.2
SRR6444112_1.fastq	41395	41395	40651	40651	34230	15.8	82.7
SRR6444113_1.fastq	29043	29043	28860	28860	28449	1.4	98
SRR6444114_1.fastq	26389	26389	26179	26179	25076	4.2	95
SRR6444115_1.fastq	25088	25088	24586	24586	22776	7.4	90.8
SRR6444116_1.fastq	42126	42126	41727	41727	41412	0.8	98.3
SRR6444117_1.fastq	46903	46903	46477	46477	44409	4.4	94.7
SRR6444118_1.fastq	26517	26517	26307	26307	26307	0	99.2
SRR6444119_1.fastq	59967	59967	59572	59572	58168	2.4	97
SRR6444120_1.fastq	31263	31262	31035	31035	30863	0.6	98.7
SRR6444121_1.fastq	20052	20052	19717	19717	19113	3.1	95.3
SRR6444122_1.fastq	18304	18304	17937	17937	16718	6.8	91.3
SRR6444123_1.fastq	18020	18020	17813	17813	17563	1.4	97.5
SRR6444124_1.fastq	31345	31345	31024	31024	29474	5	94
SRR6444125_1.fastq	16794	16794	16648	16648	16168	2.9	96.3
SRR6444126_1.fastq	28892	28892	28496	28496	28343	0.5	98.1
SRR6444127_1.fastq	18284	18284	18069	18069	17856	1.2	97.7
SRR6444128_1.fastq	26592	26592	25725	25725	24804	3.6	93.3
SRR6444129_1.fastq	21343	21343	21159	21159	21002	0.7	98.4
SRR6444130_1.fastq	37202	37201	36953	36953	36207	2	97.3
SRR6444131_1.fastq	40766	40765	40480	40480	40255	0.6	98.7
SRR6444132_1.fastq	47193	47192	46369	46369	41735	10	88.4
SRR6444133_1.fastq	34022	34022	33617	33617	33316	0.9	97.9
SRR6444134_1.fastq	20379	20379	20006	20006	19260	3.7	94.5
SRR6444135_1.fastq	37312	37312	37147	37147	36655	1.3	98.2
SRR6444136_1.fastq	30513	30513	30324	30324	30158	0.5	98.8
SRR6444137_1.fastq	49248	49247	49000	49000	48706	0.6	98.9
SRR6444139_1.fastq	35046	35046	34753	34753	34002	2.2	97
SRR6444140_1.fastq	47766	47765	47389	47389	45454	4.1	95.2
SRR6444141_1.fastq	22306	22306	22001	22001	21898	0.5	98.2
SRR6444142_1.fastq	33935	33934	32996	32996	31506	4.5	92.8
SRR6444143_1.fastq	27470	27470	26999	26999	26716	1	97.3
SRR6444144_1.fastq	12475	12475	12261	12261	12061	1.6	96.7
SRR6444145_1.fastq	48429	48429	47947	47947	45377	5.4	93.7
SRR6444146_1.fastq	26880	26880	26569	26569	24965	6	92.9
SRR6444147_1.fastq	38208	38208	37921	37921	36432	3.9	95.4
SRR6444148_1.fastq	23476	23476	23251	23251	22876	1.6	97.4
SRR6444149_1.fastq	83804	83804	83080	83080	80930	2.6	96.6
SRR6444150_1.fastq	41690	41688	41294	41294	39226	5	94.1
SRR6444151_1.fastq	14210	14210	14028	14028	13338	4.9	93.9
SRR6444152_1.fastq	28937	28937	28142	28142	27050	3.9	93.5
SRR6444153_1.fastq	15459	15459	15087	15087	14596	3.3	94.4
SRR6444154_1.fastq	13994	13994	13732	13732	13593	1	97.1
SRR6444155_1.fastq	85912	85912	85309	85309	81497	4.5	94.9
SRR6444156_1.fastq	27040	27040	26654	26654	25037	6.1	92.6
SRR6444157_1.fastq	24687	24685	24019	24019	23634	1.6	95.7
SRR6444158_1.fastq	17690	17690	17559	17559	17544	0.1	99.2
SRR6444159_1.fastq	17590	17589	17262	17262	16007	7.3	91
SRR6444160_1.fastq	27731	27731	27305	27305	26205	4	94.5
SRR6444161_1.fastq	34044	34044	33493	33493	32396	3.3	95.2
SRR6444162_1.fastq	65888	65887	65496	65496	64713	1.2	98.2
SRR6444163_1.fastq	47692	47691	47110	47110	45258	3.9	94.9
SRR6444164_1.fastq	27305	27305	26603	26603	25024	5.9	91.6
SRR6444165_1.fastq	27216	27216	26759	26759	25410	5	93.4
SRR6444166_1.fastq	32818	32818	32570	32570	31262	4	95.3
SRR6444167_1.fastq	23838	23838	23602	23602	22449	4.9	94.2
SRR6444168_1.fastq	16638	16638	16502	16502	16368	0.8	98.4
SRR6444169_1.fastq	25445	25445	25199	25199	24818	1.5	97.5
SRR6444170_1.fastq	30552	30552	30244	30244	29700	1.8	97.2
SRR6444171_1.fastq	28396	28396	27629	27629	26828	2.9	94.5
SRR6444173_1.fastq	40650	40650	40007	40007	33576	16.1	82.6
SRR6444174_1.fastq	48235	48235	47733	47733	44333	7.1	91.9
SRR6444175_1.fastq	27115	27115	26784	26784	26211	2.1	96.7
SRR6444176_1.fastq	43257	43257	42811	42811	41061	4.1	94.9
SRR6444177_1.fastq	25664	25664	25354	25354	25020	1.3	97.5
SRR6444178_1.fastq	32597	32597	32412	32412	32409	0	99.4
SRR6444179_1.fastq	82700	82700	82109	82109	80454	2	97.3
SRR6444180_1.fastq	49677	49676	49320	49320	49042	0.6	98.7
SRR6444181_1.fastq	31926	31926	31696	31696	31126	1.8	97.5
SRR6444182_1.fastq	45967	45967	45304	45304	42887	5.3	93.3
SRR6444183_1.fastq	24412	24412	23989	23989	23765	0.9	97.3
SRR6444184_1.fastq	25268	25268	25148	25148	24761	1.5	98
SRR6444185_1.fastq	29623	29623	29171	29171	28320	2.9	95.6
SRR6444186_1.fastq	71128	71128	70531	70531	67269	4.6	94.6
SRR6444187_1.fastq	32671	32671	32530	32530	32144	1.2	98.4
SRR6444188_1.fastq	41459	41458	41203	41203	40714	1.2	98.2
SRR6444189_1.fastq	43164	43164	42656	42656	41481	2.8	96.1
SRR6444190_1.fastq	28243	28243	28021	28021	27880	0.5	98.7
SRR6444191_1.fastq	31497	31497	31406	31406	31263	0.5	99.3
SRR6444192_1.fastq	19261	19261	19017	19017	18833	1	97.8
SRR6444193_1.fastq	12455	12455	12125	12125	11614	4.2	93.2
SRR6444194_1.fastq	31192	31191	30969	30969	29753	3.9	95.4
SRR6444195_1.fastq	30324	30322	29847	29847	28797	3.5	95
SRR6444196_1.fastq	25241	25241	25025	25025	21991	12.1	87.1
SRR6444197_1.fastq	27773	27772	27307	27307	26178	4.1	94.3
SRR6444198_1.fastq	35941	35939	35300	35300	34536	2.2	96.1
SRR6444199_1.fastq	35459	35459	35262	35262	34488	2.2	97.3
SRR6444200_1.fastq	18415	18415	17946	17946	15687	12.6	85.2
SRR6444201_1.fastq	18279	18279	18189	18189	18165	0.1	99.4
SRR6444202_1.fastq	19979	19979	19817	19817	19462	1.8	97.4
SRR6444203_1.fastq	25898	25898	25498	25498	25271	0.9	97.6
SRR6444204_1.fastq	26694	26694	26445	26445	25889	2.1	97
SRR6444205_1.fastq	29274	29274	29124	29124	28509	2.1	97.4
SRR6444206_1.fastq	15125	15125	14944	14944	14598	2.3	96.5
SRR6444207_1.fastq	34180	34179	33500	33500	31763	5.2	92.9
SRR6444208_1.fastq	19984	19984	19791	19791	18921	4.4	94.7
SRR6444209_1.fastq	20217	20217	19876	19876	19804	0.4	98
SRR6444210_1.fastq	43725	43724	43364	43364	41852	3.5	95.7
SRR6444211_1.fastq	22144	22144	21973	21973	21336	2.9	96.4
SRR6444212_1.fastq	40969	40969	40670	40670	38626	5	94.3
SRR6444213_1.fastq	44258	44254	43409	43409	41622	4.1	94
SRR6444214_1.fastq	16961	16961	16609	16609	16512	0.6	97.4
SRR6444215_1.fastq	33884	33884	33288	33288	31870	4.3	94.1
SRR6444216_1.fastq	26889	26888	26608	26608	25492	4.2	94.8
SRR6444217_1.fastq	22806	22806	22597	22597	22463	0.6	98.5
SRR6444218_1.fastq	21115	21115	20946	20946	20600	1.7	97.6
SRR6444219_1.fastq	34094	34092	33601	33601	32815	2.3	96.2
SRR6444220_1.fastq	30536	30536	30305	30305	28818	4.9	94.4
SRR6444221_1.fastq	29299	29299	29087	29087	28165	3.2	96.1
SRR6444223_1.fastq	34795	34793	34505	34505	33960	1.6	97.6
SRR6444224_1.fastq	52291	52290	51667	51667	49993	3.2	95.6
SRR6444225_1.fastq	19366	19366	18959	18959	18099	4.5	93.5
SRR6444226_1.fastq	43039	43039	42421	42421	40320	5	93.7
SRR6444227_1.fastq	11152	11152	10951	10951	10822	1.2	97
SRR6444228_1.fastq	31381	31379	30606	30606	29068	5	92.6
SRR6444229_1.fastq	27378	27378	27041	27041	26863	0.7	98.1
SRR6444230_1.fastq	25620	25620	25364	25364	23315	8.1	91
SRR6444231_1.fastq	27028	27028	26895	26895	26561	1.2	98.3
SRR6444232_1.fastq	39087	39087	38735	38735	37493	3.2	95.9
SRR6444233_1.fastq	37749	37748	37339	37339	35917	3.8	95.1
SRR6444234_1.fastq	36091	36091	35789	35789	35031	2.1	97.1
SRR6444235_1.fastq	36283	36282	35584	35584	33562	5.7	92.5
SRR6444236_1.fastq	40471	40470	40062	40062	38631	3.6	95.5
