	dinput	filter	forwd	length	nonchim	chim_perc	retained_perc
SRR3053238_1.fastq	43398	43398	42707	42707	41813	2.1	96.3
SRR3053239_1.fastq	26720	26720	26028	26028	25003	3.9	93.6
SRR3053240_1.fastq	37404	37404	36589	36589	35170	3.9	94
SRR3053241_1.fastq	38467	38467	37759	37759	35891	4.9	93.3
SRR3053242_1.fastq	44213	44213	43310	43310	42020	3	95
SRR3053243_1.fastq	29483	29483	28906	28906	27682	4.2	93.9
SRR3053245_1.fastq	42522	42522	41687	41687	40346	3.2	94.9
SRR3053246_1.fastq	51846	51846	51246	51246	49733	3	95.9
SRR3053247_1.fastq	64038	64038	63315	63315	60732	4.1	94.8
SRR3053248_1.fastq	27935	27935	27590	27590	26822	2.8	96
SRR3053249_1.fastq	67938	67938	67242	67242	65356	2.8	96.2
SRR3053250_1.fastq	44876	44876	44339	44339	42907	3.2	95.6
SRR3053251_1.fastq	42091	42091	41597	41597	40830	1.8	97
SRR3053252_1.fastq	29866	29866	29449	29449	28955	1.7	96.9
SRR3053253_1.fastq	33122	33122	32639	32639	31225	4.3	94.3
SRR3053254_1.fastq	37590	37590	37161	37161	35650	4.1	94.8
SRR3053255_1.fastq	29549	29549	29121	29121	27995	3.9	94.7
SRR3053256_1.fastq	48533	48533	47937	47937	45852	4.3	94.5
SRR3053257_1.fastq	50373	50373	49727	49727	47646	4.2	94.6
SRR3053258_1.fastq	31694	31694	31329	31329	31271	0.2	98.7
SRR3053259_1.fastq	41291	41291	40949	40949	40702	0.6	98.6
SRR3053260_1.fastq	21682	21682	21330	21330	20877	2.1	96.3
SRR3053261_1.fastq	40831	40831	40401	40401	38766	4	94.9
SRR3053262_1.fastq	43153	43153	42766	42766	40245	5.9	93.3
SRR3053263_1.fastq	59153	59153	58663	58663	55421	5.5	93.7
SRR3053264_1.fastq	47742	47742	47119	47119	44324	5.9	92.8
SRR3053265_1.fastq	46039	46039	45511	45511	42976	5.6	93.3
SRR3053266_1.fastq	46034	46034	45673	45673	43896	3.9	95.4
SRR3053267_1.fastq	24900	24900	24547	24547	23331	5	93.7
SRR3053268_1.fastq	52281	52281	51653	51653	50024	3.2	95.7
SRR3053269_1.fastq	45719	45719	45161	45161	42197	6.6	92.3
SRR3053270_1.fastq	27604	27604	27226	27226	25458	6.5	92.2
SRR3053271_1.fastq	31026	31026	30647	30647	28179	8.1	90.8
SRR3053272_1.fastq	16663	16663	16410	16410	15037	8.4	90.2
SRR3053274_1.fastq	23143	23143	22890	22890	21463	6.2	92.7
SRR3053275_1.fastq	44193	44193	43777	43777	41421	5.4	93.7
SRR3053276_1.fastq	37105	37105	36594	36594	32535	11.1	87.7
SRR3053277_1.fastq	29320	29320	29005	29005	27567	5	94
SRR3053278_1.fastq	51843	51843	51118	51118	49814	2.6	96.1
SRR3053279_1.fastq	3011	3011	2902	2902	2902	0	96.4
SRR3053280_1.fastq	45110	45110	44397	44397	42752	3.7	94.8
SRR3053281_1.fastq	10413	10413	10048	10048	9269	7.8	89
SRR3053282_1.fastq	24359	24359	23894	23894	22956	3.9	94.2
SRR3053283_1.fastq	25321	25321	24832	24832	22160	10.8	87.5
SRR3053284_1.fastq	42858	42858	42425	42425	42220	0.5	98.5
SRR3053285_1.fastq	30665	30665	30077	30077	27408	8.9	89.4
SRR3053286_1.fastq	38603	38603	38124	38124	37107	2.7	96.1
SRR3053287_1.fastq	42128	42128	41585	41585	40626	2.3	96.4
