	G000160055	G000434535	G004558915	G900538515	G902387315	GB-GCA-000980215.1-LARH01000082.1	GB-GCA-015554585.1-JADNIT010000076.1	GB-GCA-018336475.1-CP048741.1--6	GB-GCA-900545115.1-UQXN01000021.1	GB-GCA-902646515.1-CACRCQ010000098.1	MJ006-1-barcode28-umi157746bins-ubs-3	MJ006-1-barcode39-umi169144bins-ubs-3	RS-GCF-000210395.1-NC-017175.1--13	RS-GCF-001487165.1-NZ-LN913006.1	RS-GCF-003438725.1-NZ-QSTT01000002.1	RS-GCF-003439785.1-NZ-QSVN01000017.1	RS-GCF-003461545.1-NZ-QTXH01000007.1	RS-GCF-003473495.1-NZ-QUCI01000034.1	RS-GCF-003474085.1-NZ-QRNS01000091.1	RS-GCF-003602705.1-NZ-QTLK01000079.1	RS-GCF-009663755.1-NZ-RDBS01000044.1	RS-GCF-009881395.1-NZ-WWVG01000042.1	RS-GCF-019052355.1-NZ-JAHQUT010000188.1	RS-GCF-019130915.1-NZ-JAHOLF010000125.1	RS-GCF-900217715.1-NZ-OBMS01000001.1	RS-GCF-902167665.1-NZ-CABHNA010000090.1
G000160055	1	0.0661765972524521	0.160949209095637	-0.039620425888956	0.0519823439248579	0.0790106871315055	0.0264827481243162	0.0665525851204106	0.0162913058573133	0.0658712503542353	0.0251044442861999	0.0305971340855663	0.0396978773702085	-0.00628966833660341	0.106925970801562	-0.0217041823164795	0.0945057906407439	0.0489406644634753	-0.0278866999198961	0.041643314682736	-0.0507811989299771	0.0408928942702482	0.0290206121612245	0.0663400996462347	0.0471591445071792	-0.0562958904217406
G000434535	0.0661765972524521	1	0.0648079244351633	0.0118815369515721	0.10359504989247	0.133556259897481	-0.0949561227055752	0.0811726355693189	0.100734914430515	0.0876363668507037	0.00383278837047025	0.0766950605867261	0.11519458590073	0.0956044394068471	0.0489634304995649	-0.00995923837395155	-0.0118939029472186	0.0251365378843909	0.0654496321714393	0.0225871073307751	-0.016121791726942	-0.00965999355956441	0.0956602786634727	-0.00429335174946877	0.0396320162460822	-0.0180103078237555
G004558915	0.160949209095637	0.0648079244351633	1	0.0539388259399507	0.0384251691070725	0.0771199213320317	0.0270528705492869	0.0677159031930758	0.119321878959409	0.114898769316249	0.0448165044722619	0.09007513933768	0.125171735890394	0.0787068696941265	0.199706444517284	-0.0311950448213003	-0.00475257101113721	-0.00731314286585648	0.0042462373530383	-0.00437491046879376	0.108239220208167	-0.0733896141383386	-0.0216744127109429	0.0232201800679874	0.152539206755685	-0.0560445094745661
G900538515	-0.039620425888956	0.0118815369515721	0.0539388259399507	1	0.0450297689573271	-0.0361766410106243	0.00172541762298484	0.08664504427033	-0.0082786953525702	0.0139159674953582	-0.022874319739656	0.0467340987933828	0.0666456684411241	0.050932243233415	0.0295644262856584	0.0455369151577566	0.0453383713380046	0.0414232772944982	-0.0517602893801813	-0.0228950953493518	0.0528892089438543	0.0312874768391258	0.131946968140901	-0.00302624031053679	-0.00769511313174804	0.0335443602182505
G902387315	0.0519823439248579	0.10359504989247	0.0384251691070725	0.0450297689573271	1	0.0679947821492246	0.0272907902671754	0.0126096284045868	0.0668304907786827	0.0587922623055979	0.0545222908587211	-0.021570525625138	-0.0087612994889586	0.0562422400999284	0.0528594084906067	-0.0405250663621491	0.0884044914617492	0.100318669049041	0.0156852023378203	0.0271593890380363	0.100829816774686	0.0478846185903745	0.142843436419084	-0.00735989354207932	-0.00286208035389546	0.00917902268878059
GB-GCA-000980215.1-LARH01000082.1	0.0790106871315055	0.133556259897481	0.0771199213320317	-0.0361766410106243	0.0679947821492246	1	-0.016130429387801	0.0279290749717363	0.00604320649652672	0.0496154381299522	0.212514156142616	0.0138554498689675	-0.0281006679199628	0.1535503166258	0.123999324027775	-0.115449901271858	0.0192828866844927	-0.100393389549401	0.0675239350117668	0.0218733014942498	-0.0310045470610849	-0.0432241038990935	-0.00480209432260805	0.108266201444703	0.0719819120577658	-0.0838740165084077
GB-GCA-015554585.1-JADNIT010000076.1	0.0264827481243162	-0.0949561227055752	0.0270528705492869	0.00172541762298484	0.0272907902671754	-0.016130429387801	1	-0.0644356383528328	0.0141674874346698	0.0203776525110763	-0.0427677132431988	0.0472787757101463	-0.0895732622504678	0.0305720100391636	0.0386177359589809	0.262180798305	0.0437165385803626	0.22682544356909	0.0747744087136445	-0.00261349118662826	0.0759327358369253	0.198308774072444	0.00249155472190857	0.0246877761336227	0.0358860001224999	0.248440488994074
GB-GCA-018336475.1-CP048741.1--6	0.0665525851204106	0.0811726355693189	0.0677159031930758	0.08664504427033	0.0126096284045868	0.0279290749717363	-0.0644356383528328	1	0.0551118826013533	-0.0212433589880299	0.0946766557017437	0.102285671221912	0.167437782856232	0.106364000885405	0.0410853957797417	-0.0341245616376534	0.150802981199699	0.000102846822241738	0.066071459049612	0.00838347286660959	-0.00825423830826402	0.0428549548855368	0.044810109683886	-0.0997931821299568	-0.0191001793316544	0.0388864426995501
GB-GCA-900545115.1-UQXN01000021.1	0.0162913058573133	0.100734914430515	0.119321878959409	-0.0082786953525702	0.0668304907786827	0.00604320649652672	0.0141674874346698	0.0551118826013533	1	-0.0247906352012764	-0.0830607355191604	0.0562837702237503	0.0410015771537738	-0.0512093899705819	0.109268653991881	0.0162003226895843	0.0910046901866922	0.0475046172363973	0.0113414330242444	-0.00242613253499823	0.0259995960014769	0.0467868983154661	0.0299068216033531	-0.0406266246674125	-0.0108095171495444	-0.00162686063873957
GB-GCA-902646515.1-CACRCQ010000098.1	0.0658712503542353	0.0876363668507037	0.114898769316249	0.0139159674953582	0.0587922623055979	0.0496154381299522	0.0203776525110763	-0.0212433589880299	-0.0247906352012764	1	0.017753604209871	-0.00586571681146666	0.0593210889269605	-0.0560722587267366	0.0566672223553903	0.000233395095999342	0.036909679099677	-0.077797331082109	0.0548323348329483	0.100248294903242	0.216429490758798	0.0411209320165414	0.0496554578623489	0.117588015418881	0.0923970882809248	-0.0610095016487478
MJ006-1-barcode28-umi157746bins-ubs-3	0.0251044442861999	0.00383278837047025	0.0448165044722619	-0.022874319739656	0.0545222908587211	0.212514156142616	-0.0427677132431988	0.0946766557017437	-0.0830607355191604	0.017753604209871	1	0.0774129645564558	-0.0144728493566129	0.0553117957715279	0.0468769868318536	0.0185439498119124	0.125985300386471	0.0470718719373569	0.0221779582888318	0.0141580383987918	0.0873817177705485	0.0855556271288841	0.0193930840981973	0.0858580280221596	0.0753394876855039	-0.0445988520789671
