"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"AAVN02000007",142.640184105426,-0.0450435545504776,0.0575706951979504,-0.782404214428892,0.434786005372833,0.999946493964623,FALSE,228.810986689407
"AB100802",139.254267079845,0.0896399907495655,0.0842417333822829,1.06408055901207,0.288104632352407,0.998808663472953,FALSE,315.999999996694
"AB116294",152.727786597777,0.158431009342592,0.0901067844909781,1.75825838462202,0.0801172921775103,0.970212887982653,FALSE,216.386219576594
"AB214328",214.824228244784,-0.0664481946739918,0.170784980227844,-0.389075166828742,0.697585960023721,0.999946493964623,FALSE,226.568446749927
"AB222699",303.219110426235,0.047039370186005,0.0538688000836684,0.873221050272961,0.383747331185522,0.999946493964623,FALSE,173.821922463807
"AB233029",154.823383765206,-0.0949676911482547,0.11408963140339,-0.83239545943027,0.405912021569854,0.999946493964623,FALSE,273.490908660081
"AB238928",4268.08851758553,-0.000546626916813233,0.00861216853679959,-0.0634714606986044,0.949464354955953,0.999946493964623,FALSE,173.015015302393
"AB260026",169.887200561117,-0.0078900649732581,0.0526202936617351,-0.149943385416636,0.880982175640248,0.999946493964623,FALSE,174.777117136803
"AB266102",300.256996114704,-0.489701530274246,0.198810116814285,-2.46316202676794,0.0144870886765756,0.970212887982653,FALSE,235.887272241546
"AB370249",146.76213162155,0.00102045236385104,0.0148218413375203,0.0688478806791601,0.94518930008621,0.999946493964623,FALSE,175.019860451155
"AB370250",191.579120516871,0.0718302118315834,0.198512992464215,0.361841363328055,0.717762834399577,0.999946493964623,FALSE,261.463048527672
"AB443949",368.565542997118,-0.0657513479723205,0.0848542135534036,-0.774874284008766,0.439456758932715,0.999946493964623,FALSE,175.489942547743
"AB490809",179.465487854691,0.0947346401873773,0.0912494545250751,1.03819404379392,0.300567500071378,0.998808663472953,FALSE,180.628071613917
"AB490811",147.041486805783,-0.00950942232545496,0.0220123249374484,-0.43200444989239,0.666260420345527,0.999946493964623,FALSE,178.208372124496
"AB510705",334.140094680189,-0.446883516134392,0.206091930361332,-2.1683697918249,0.0311444676579608,0.970212887982653,FALSE,232.699963567263
