"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_otu","Study","CI_low","CI_hig"
"61","",-0.0681000861841752,"","","",0.64667658574445,"GT14","Combined",-0.35928327911826,0.22308310674991
"62","",-0.134843065456345,"","","",0.38939002352263,"GT17","Combined",-0.441895645723031,0.172209514810342
"63","",0.0346779515721946,"","","",0.684825079250201,"GT19","Combined",-0.132776070223112,0.202131973367501
"64","",-0.0204567520446962,"","","",0.780567838929028,"GT2","Combined",-0.164381743064698,0.123468238975306
"65","",-0.0195499006303845,"","","",0.862325900774654,"GT20","Combined",-0.240507073770553,0.201407272509784
"66","",-0.095577500591861,"","","",0.518710967360069,"GT21","Combined",-0.385859044811801,0.194704043628079
"67","",0.129333658381548,"","","",0.42712105751205,"GT22","Combined",-0.189871039835267,0.448538356598363
"68","",0.00564265685796918,"","","",0.977973809487413,"GT25","Combined",-0.394926244929999,0.406211558645937
"69","",0.00980457455874529,"","","",0.895386186860299,"GT26","Combined",-0.136338356951219,0.155947506068709
"70","",0.027085823477561,"","","",0.703356193843233,"GT28","Combined",-0.112326178623983,0.166497825579105
"71","",0.0325395550295101,"","","",0.739273464866413,"GT3","Combined",-0.159087134426387,0.224166244485407
"72","",0.0318486080179012,"","","",0.709237289684002,"GT30","Combined",-0.135556507165578,0.19925372320138
"73","",-0.0101221011377772,"","","",0.890448379945574,"GT35","Combined",-0.154157273712662,0.133913071437108
"74","",0.00378899917222345,"","","",0.966409461504293,"GT36","Combined",-0.172557705198922,0.180135703543369
"75","",-0.0550277864129639,"","","",0.613055736454156,"GT39","Combined",-0.268294499332719,0.158238926506791
"76","",-0.0146434265121546,"","","",0.844195627135676,"GT4","Combined",-0.160680365207845,0.131393512183535
"77","",-0.00900563650087096,"","","",0.899595765455678,"GT5","Combined",-0.148899761323818,0.130888488322076
"78","",-0.0075922519880218,"","","",0.910386319608802,"GT51","Combined",-0.139803468539759,0.124618964563716
"79","",-0.0149688779055582,"","","",0.904240127750147,"GT52","Combined",-0.258832605500361,0.228894849689245
"80","",0.0224698029679264,"","","",0.901451108088941,"GT56","Combined",-0.333183569073822,0.378123175009675
"81","",-0.208792947359308,"","","",0.169179087660546,"GT66","Combined",-0.506445597490188,0.088859702771572
"82","",0.0174419400942193,"","","",0.920432475475697,"GT73","Combined",-0.324793798030759,0.359677678219197
"83","",-0.205053048452794,"","","",0.282043864611154,"GT8","Combined",-0.578653407540325,0.168547310634737
"84","",-0.0640202894564968,"","","",0.643349676128024,"GT81","Combined",-0.335017929487507,0.206977350574513
"85","",-0.0729028419872604,"","","",0.663998150716143,"GT84","Combined",-0.401832432143075,0.256026748168554
"86","",-0.0466768761913122,"","","",0.747153213174158,"GT85","Combined",-0.330443372042979,0.237089619660354
"87","",-0.206321513283214,"","","",0.231875080591495,"GT87","Combined",-0.544563510018104,0.131920483451676
"88","",-0.0989448678311047,"","","",0.483570291535587,"GT89","Combined",-0.375759294973578,0.177869559311368
"89","",0.0152302518300939,"","","",0.861941538928505,"GT9","Combined",-0.156421249278169,0.186881752938357
"90","",-0.0461533859263888,"","","",0.660207779030883,"PL11","Combined",-0.251916715594454,0.159609943741677
"91","",0.0348032065141219,"","","",0.780846727624414,"PL12","Combined",-0.210377110182727,0.279983523210971
"92","",0.0230395573727182,"","","",0.850649412399971,"PL13","Combined",-0.216785869978796,0.262864984724232
"93","",0.00447433940423787,"","","",0.980906719884697,"PL21","Combined",-0.361959082159594,0.37090776096807
"94","",0.0130778399784004,"","","",0.919473644050238,"PL4","Combined",-0.240462366928001,0.266618046884802
"95","",0.04911201828703,"","","",0.628237562694333,"PL8","Combined",-0.149681871395798,0.247905907969858
