"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"ko:K00001",32.3075946215189,0.451399440456615,0.831669746638956,0.542762848210921,0.588969343081923,0.996634133639622,FALSE,72
"ko:K00002",2.50920480371483,-2.033611366362,1.04193163511471,-1.95177044042637,0.0548554362190429,0.996634133639622,FALSE,72
"ko:K00003",1058.07954109733,-0.593230538642109,0.399722337647295,-1.48410654789466,0.142145461893431,0.996634133639622,FALSE,72
"ko:K00004",0.303264998058819,-0.410388154802547,0.573352715519844,-0.715769095870521,0.476448898686186,0.996634133639622,FALSE,72
"ko:K00005",115.060174103708,-1.52137566251005,1.10102701812953,-1.38177868250194,0.171312155149871,0.996634133639622,FALSE,72
"ko:K00007",0.229035806773534,-0.0349726242695922,0.44151574240431,-0.0792103676284472,0.93708504013616,0.996634133639622,FALSE,72
"ko:K00008",280.716086441369,-0.57680531922642,0.776005849319776,-0.743300220909456,0.459718533342191,0.996634133639622,FALSE,72
"ko:K00009",45.558461547694,1.56348030899434,0.836280505245415,1.86956445736532,0.0656106328298496,0.996634133639622,FALSE,72
"ko:K00010",2.77277561873708,-0.268770254226981,1.1703745905333,-0.229644642323028,0.819019055285257,0.996634133639622,FALSE,72
"ko:K00012",595.274364512167,0.267765398679983,0.411464319775972,0.650762133702799,0.517271473933112,0.996634133639622,FALSE,72
"ko:K00013",735.303771908093,0.0837314373279011,0.303290634809267,0.276076567219288,0.783280146373386,0.996634133639622,FALSE,72
"ko:K00014",1295.62233737462,-0.4042149078601,0.330681668104949,-1.22236866100426,0.225554760255805,0.996634133639622,FALSE,72
"ko:K00015",0.362352217187251,1.52619731361067,0.672342575319107,2.26996975892284,0.0262042520995374,0.996634133639622,FALSE,72
"ko:K00016",611.552258419405,-0.399981483994278,0.567136569782499,-0.705264843259311,0.48292089477825,0.996634133639622,FALSE,72
"ko:K00018",374.236188933804,-0.00184491879789136,0.380822355811423,-0.00484456537211522,0.996148009199767,0.998716419378188,FALSE,72
"ko:K00020",30.7410461537266,-1.9312439916925,1.08344240399352,-1.78250729764132,0.07888221456959,0.996634133639622,FALSE,72
"ko:K00023",2.88561795833893,0.971365673907212,0.859680199011768,1.12991514172809,0.262262193953327,0.996634133639622,FALSE,72
"ko:K00024",18.3284031637345,1.44926900140756,0.818308298706959,1.77105499687295,0.0807836948407311,0.996634133639622,FALSE,72
"ko:K00027",673.848160278304,0.0763262823292162,0.355346496340454,0.214793963399849,0.830535180349787,0.996634133639622,FALSE,72
"ko:K00029",8.39469805116884,1.85747025969261,0.85466469142075,2.17333215977935,0.0330457249739035,0.996634133639622,FALSE,72
"ko:K00030",62.0259092895855,0.403226014376718,0.903609555724586,0.446239210090445,0.656763640364696,0.996634133639622,FALSE,72
"ko:K00031",603.398046941343,-0.260072877160745,0.337464407720113,-0.77066757622761,0.443425577706391,0.996634133639622,FALSE,72
"ko:K00032",0.202699215480279,-0.0168458792613899,0.326493325705784,-0.0515963970319271,0.958993171268874,0.996634133639622,FALSE,72
"ko:K00033",3.71326313834535,1.20080787335147,0.878951022772474,1.3661829183198,0.176133509685086,0.996634133639622,FALSE,72
"ko:K00034",0.398133490255156,0.0114545673457748,0.620145746889927,0.0184707665951436,0.985314388790956,0.996634133639622,FALSE,72
"ko:K00036",2.16787328139908,1.7091502357523,0.83412606211864,2.04903109178862,0.0441041749242896,0.996634133639622,FALSE,72
"ko:K00038",0.358943101347658,0.0202487647379272,0.552990032250807,0.0366168711134081,0.970891824418085,0.996634133639622,FALSE,72
"ko:K00040",273.063151532969,-1.33477580052149,0.735751489825188,-1.81416662960292,0.073818266617329,0.996634133639622,FALSE,72
