"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"12DICHLORETHDEG-PWY",0.221641720468016,-0.0272848365424808,0.0552076731532407,-0.494221817078686,0.62124415456176,0.850422638409238,FALSE,1147.16424440267
"14DICHLORBENZDEG-PWY",0.206081625318852,0.00195625025480844,0.0418027163333955,0.046797204258366,0.96268329662575,0.971336629629128,FALSE,1107.17474680816
"1CMET2-PWY",5985.71859889806,-0.01450797645979,0.0183798150469068,-0.789342897236155,0.430090811866254,0.712585883866967,FALSE,1044.19593017366
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",0.331931784017482,-0.0651174420723592,0.0901054901926149,-0.72268007124938,0.470031511973571,0.740505785530292,FALSE,1089.83037885532
"4-HYDROXYMANDELATE-DEGRADATION-PWY",0.214350506460806,-0.0169740094612916,0.0481324077724485,-0.352652407117014,0.724414533077598,0.87201578374231,FALSE,1134.75559296659
"AEROBACTINSYN-PWY",0.274487111067661,-0.117022813807758,0.0651726147397286,-1.79558261203876,0.0728403906148925,0.238725075810852,FALSE,1079.98152814557
"ALLANTOINDEG-PWY",11.7028822252315,-0.160154207024109,0.105395962057691,-1.51954784507251,0.128915932750753,0.340489728265225,FALSE,1085.20699514103
"ANAEROFRUCAT-PWY",5050.80620022914,0.00756637627395712,0.0191125746678446,0.395884720162112,0.692271167704517,0.866999483377511,FALSE,1041.35395578032
"ANAGLYCOLYSIS-PWY",7091.29645694394,0.020194342660178,0.0191271514385558,1.05579457166167,0.291307902516968,0.568683687957037,FALSE,1037.34261319085
"ARG+POLYAMINE-SYN",1580.99899262837,-0.0305733836145736,0.0277080758952897,-1.1034105626862,0.27010089222238,0.536616374371012,FALSE,1053.48403574162
"ARGDEG-IV-PWY",0.205803491348891,0.0033218579818639,0.0411620800334183,0.0807018979402153,0.935693522807841,0.96457193304113,FALSE,1114.01121140864
"ARGDEG-PWY",1.38580583375843,0.225841649340857,0.123182169505852,1.833395614372,0.06702513969035,0.222920649784942,FALSE,1055.88231641445
"ARGININE-SYN4-PWY",4375.47597638374,-0.00665701302204476,0.0220981177195646,-0.301247966298549,0.763285008827932,0.888808111863608,FALSE,1050.92607293023
"ARGSYN-PWY",6223.10044895594,0.0315600878295748,0.0190282956364619,1.65858721309226,0.0974967379389002,0.289907518771962,FALSE,1053.25843879107
"ARGSYNBSUB-PWY",5988.40476149672,0.0270731370671729,0.020035488857529,1.35125912123673,0.176903492409022,0.42026279413572,FALSE,1050.05735308403
"ARO-PWY",7397.88155059785,0.00558797420699084,0.0183198162914083,0.305023484848563,0.760408515297805,0.888808111863608,FALSE,1053.50585497471
"ASPASN-PWY",4569.48376002322,0.0280835889145291,0.0217942576146674,1.28857745058629,0.19783542065584,0.450904080581078,FALSE,1026.32645025335
"AST-PWY",1.29572368658392,0.105255700852004,0.106879506092805,0.984807141236309,0.324943755747692,0.607915609711306,FALSE,1058.98326466889
"BRANCHED-CHAIN-AA-SYN-PWY",7543.36374463207,0.0121518280345288,0.0186657605968263,0.651022387836422,0.515174641016862,0.783985899017876,FALSE,1048.78992811329
"CALVIN-PWY",9676.72322047729,0.00238110901917082,0.0183839523752254,0.129521061117393,0.896970046927162,0.947622473106578,FALSE,1055.11651584472
"CARNMET-PWY",3.01283941311776,-0.306455008929941,0.108691954309694,-2.81948200192229,0.00489915696511634,0.0261871604444909,TRUE,1066.63086273049
"CATECHOL-ORTHO-CLEAVAGE-PWY",0.235862895727902,0.115500760046639,0.067107604704125,1.72112774037871,0.0854963838064869,0.267502307571195,FALSE,1150.9439361735
"CITRULBIO-PWY",896.417518991787,-0.144271922017694,0.0391540868041697,-3.6847219228806,0.000240747593112531,0.00225199311057347,TRUE,1040.67574977181
"COA-PWY",6585.40983111657,0.0155943059310201,0.0185310767257517,0.841521847964153,0.400247380487509,0.687862308664009,FALSE,1049.34582906211
"COA-PWY-1",6996.49970542953,0.0156159172459107,0.0186621470472565,0.836769596036721,0.402912666322126,0.687862308664009,FALSE,1049.01278670576
"COBALSYN-PWY",5322.30684994903,-0.0185040107116429,0.0224770472379476,-0.823240282220117,0.410558656894192,0.696695131410583,FALSE,1047.98448249685
"CODH-PWY",513.926188899842,-0.232535384108747,0.0435393256070006,-5.34081272199032,1.13250114017777e-07,4.23744176616514e-06,TRUE,1057.63285333582
"COLANSYN-PWY",5899.36845577857,-0.0261684043884141,0.0233286488496257,-1.12172824740486,0.262235925873389,0.535199685077962,FALSE,1044.02805448532
"COMPLETE-ARO-PWY",7583.49012414408,0.00668491867725738,0.0180026984101694,0.371328704450283,0.710467386933022,0.866999483377511,FALSE,1053.4507416872
"CRNFORCAT-PWY",2.20699140724132,-0.239950713404053,0.157404424653395,-1.52442165417158,0.127702626694916,0.340489728265225,FALSE,1056.70090219743
"DAPLYSINESYN-PWY",6164.80661826738,0.0137780564992429,0.0185136319208585,0.744211430698252,0.456914786843024,0.732695497473279,FALSE,1051.89229961981
"DARABCATK12-PWY",1755.78005263298,-0.107391353419585,0.0270975931079588,-3.96313255541662,7.90436263820289e-05,0.000845014005845976,TRUE,1035.94134741945
"DENITRIFICATION-PWY",13.3927342516513,0.191107879045705,0.150708029097635,1.26806700472406,0.205048128906221,0.462646280798458,FALSE,1076.79272844119
"DENOVOPURINE2-PWY",2655.32684458501,0.0154490799002352,0.0240692968748033,0.641858380018068,0.52110650383551,0.785157114839409,FALSE,1040.5776528356
"DHGLUCONATE-PYR-CAT-PWY",1.02596440788222,-0.115887598606898,0.110328563453553,-1.0503861826832,0.293777288082831,0.570405282389722,FALSE,1072.16843047562
"DTDPRHAMSYN-PWY",8267.60929693064,-0.0156418965365245,0.0197069894805846,-0.793723290507406,0.427536065367256,0.71097664203666,FALSE,1048.85977482701
"ECASYN-PWY",4.15421159282381,-0.0874499856444706,0.124977131924802,-0.699727896597024,0.484252461135981,0.752350709515763,FALSE,1048.49752877471
"FAO-PWY",3.2473250831166,0.0611550848740704,0.139146265050124,0.439502165954946,0.660386167250676,0.86187600988671,FALSE,1073.53818110029
"FERMENTATION-PWY",6176.94054308901,0.00113150659701267,0.0190499640467882,0.0593967838592032,0.95264747614045,0.971336629629128,FALSE,1040.86000392119
"FOLSYN-PWY",5937.17799387442,-0.00286799524742774,0.0192174403456094,-0.149239190852125,0.881393795305385,0.94020530637892,FALSE,1041.25976792369
"FUC-RHAMCAT-PWY",1733.4099096803,-0.123031602057832,0.0240088792711473,-5.12442087230973,3.55314054453177e-07,9.97100065309227e-06,TRUE,1045.58219476031
"FUCCAT-PWY",1774.86684157499,-0.12842106802104,0.0259001150589803,-4.95832036763532,8.30611018492626e-07,1.96286498580626e-05,TRUE,1034.08297709745
"GALACTARDEG-PWY",1207.70434376264,-0.17509527387033,0.0253827636943542,-6.89819579848494,9.14073287135264e-12,5.8631272274819e-10,TRUE,1038.2300401246
"GALACTITOLCAT-PWY",373.631919835006,-0.0188192009140882,0.0431165589769144,-0.436472700063204,0.662583294670939,0.86187600988671,FALSE,1052.82049615096
"GALLATE-DEGRADATION-I-PWY",0.224214466669504,-0.0378994685457893,0.0547216775990663,-0.692586013599041,0.488715946005825,0.756667102609019,FALSE,1097.19112952452
"GALLATE-DEGRADATION-II-PWY",0.229926207730957,0.0273461224231094,0.0624342199841258,0.437998944009587,0.661471685789472,0.86187600988671,FALSE,1117.6283041913
"GLCMANNANAUT-PWY",2743.50833248085,0.00958164972244444,0.0248020080553021,0.386325562876999,0.699333829462471,0.866999483377511,FALSE,1050.14117757699
"GLUCARDEG-PWY",190.86616193836,-0.12308094567793,0.0424784833249787,-2.8974891767276,0.00384076322831117,0.0212901566606385,TRUE,1036.78114408543
"GLUCARGALACTSUPER-PWY",1207.70434376264,-0.17509527387033,0.0253827636943542,-6.89819579848494,9.14073287135264e-12,5.8631272274819e-10,TRUE,1038.2300401246
"GLUCONEO-PWY",7624.52423080197,-0.00299343443351591,0.0188073351442408,-0.159163135582904,0.873570941646495,0.94020530637892,FALSE,1050.48521432476
"GLUCOSE1PMETAB-PWY",7689.76303548689,0.00684019978461972,0.0189216278303888,0.361501655456626,0.717796948936393,0.868077671221459,FALSE,1053.58791175572
"GLUDEG-I-PWY",623.326235739866,-0.105056948691174,0.0372027398012187,-2.82390354184969,0.00483319047200912,0.0261458135172542,TRUE,1059.37617628787
"GLUTORN-PWY",5819.55540198399,0.00966078612307199,0.019422337417515,0.497405946328578,0.619006476271133,0.850422638409238,FALSE,1054.84440893605
"GLYCOCAT-PWY",158.490011920777,0.655350638814237,0.0934719436598634,7.0112015772241,4.22885256108239e-12,3.79750959985199e-10,TRUE,1047.34972064246
"GLYCOGENSYNTH-PWY",8184.25706566588,-0.00355381658503735,0.0194170044061388,-0.18302599673479,0.854812795905585,0.930577365821702,FALSE,1054.72491047394
"GLYCOL-GLYOXDEG-PWY",3.49383540519558,-0.0476380595168267,0.132471038107603,-0.359611128570845,0.719209117359427,0.868077671221459,FALSE,1067.0229873502
"GLYCOLYSIS",7744.94072300459,-0.00146659572014989,0.0187965634863844,-0.0780246730319741,0.937823238201855,0.96457193304113,FALSE,1053.8321682815
"GLYCOLYSIS-E-D",4.47559361448145,0.160260706150739,0.15735305179911,1.01847853802887,0.308680156013067,0.585830888240671,FALSE,1073.09915392127
"GLYOXYLATE-BYPASS",2.79091377567878,-0.0620694357846085,0.124457522886182,-0.49871983906808,0.618079613088007,0.850422638409238,FALSE,1066.44737467642
"GOLPDLCAT-PWY",122.170317238375,-0.344830209001119,0.057536724179819,-5.99321935540549,2.84037869564554e-09,1.41703337149428e-07,TRUE,1031.41200991519
"HCAMHPDEG-PWY",0.224281098053444,0.104811594537583,0.0617165769055113,1.69827297288459,0.0897291971617783,0.274009304155193,FALSE,1139.75581192162
"HEME-BIOSYNTHESIS-II",36.4187411581232,-0.132023550577846,0.0835132018624703,-1.58087042088582,0.114216241725735,0.322535173175189,FALSE,1024.78969547101
"HEME-BIOSYNTHESIS-II-1",235.827198480495,0.0409323599895002,0.0488244643622907,0.838357584135916,0.402024258782649,0.687862308664009,FALSE,1030.80370709658
"HEMESYN2-PWY",235.832500309241,0.0410709061335482,0.0488140638559034,0.84137445009265,0.400333335987843,0.687862308664009,FALSE,1030.79257117702
"HEXITOLDEGSUPER-PWY",780.242269717624,0.00558270478646947,0.0419239344123662,0.133162711580399,0.894089960551239,0.947622473106578,FALSE,1060.59898201211
"HISDEG-PWY",2105.95924709717,-0.0690007516603902,0.0361032848913987,-1.91120425379434,0.0562564079093315,0.199216131918768,FALSE,1027.26460702001
"HISTSYN-PWY",6282.11810830469,0.0286542427492918,0.0191772808971392,1.4941765155855,0.135430663246023,0.351033917064248,FALSE,1047.4480436334
"HOMOSER-METSYN-PWY",1073.39870404931,0.0951366328776449,0.0329340199191936,2.88870393322985,0.00394869779302882,0.0216215281593895,TRUE,1038.26811092726
"HSERMETANA-PWY",3915.61262620254,0.104288170168794,0.0249366312533848,4.18212745374894,3.13179303556205e-05,0.000380047317018205,TRUE,1037.84941414744
"ILEUSYN-PWY",8124.39562476002,0.00729517976422655,0.018563496618907,0.39298521792475,0.694410197841711,0.866999483377511,FALSE,1049.63230771232
"KDO-NAGLIPASYN-PWY",384.800801232333,-0.14208477519931,0.0769678448974866,-1.84602771960879,0.0651668791199432,0.221610084437522,FALSE,1059.92725526301
"KETOGLUCONMET-PWY",0.766081427603428,-0.116095024676599,0.132087407756754,-0.878925755666238,0.379629644991443,0.668445923926109,FALSE,1122.45174098418
"LACTOSECAT-PWY",66.9062032749648,0.0936885215505728,0.0973463064534203,0.962425026319846,0.336061043255533,0.620952298031828,FALSE,1034.53076024897
"LIPA-CORESYN-PWY",0.986872461491314,0.219167692589092,0.105088342581827,2.08555665837471,0.0372604003459627,0.148052387215374,FALSE,1047.41692863555
"LIPASYN-PWY",117.740551086937,-0.187931207762261,0.133767722095736,-1.40490698965302,0.160330305158631,0.387033908689383,FALSE,1103.74556691368
"LPSSYN-PWY",2.12251131074831,0.270455582561795,0.146112624145988,1.85100763293096,0.0644479768845739,0.221610084437522,FALSE,1054.34061507173
"MET-SAM-PWY",1760.4488007925,0.0830536105599022,0.0295528695510072,2.81033997110008,0.00504175788006229,0.0266323445664467,TRUE,1040.20369146711
"METH-ACETATE-PWY",611.468035039224,-0.230862457055486,0.0445281421200415,-5.18464157864737,2.59280461215137e-07,7.80769875532554e-06,TRUE,1055.75472621285
"METHANOGENESIS-PWY",0.359123247060212,-0.0277644953595302,0.0622212842023516,-0.446221830929052,0.655532508783111,0.86187600988671,FALSE,1011.61506749533
"METHGLYUT-PWY",2.42765183591915,0.0844455322459868,0.132683862248118,0.636441620067359,0.524624830793659,0.787659915953659,FALSE,1069.28786428186
"METSYN-PWY",1696.04151336287,0.0812631621228808,0.0307226658649208,2.64505568885762,0.00829101588923127,0.0404637623289656,TRUE,1038.78493701109
"NAD-BIOSYNTHESIS-II",41.4651243580882,0.0632720527534681,0.119786105606981,0.528208613451915,0.597464227749224,0.84430614398887,FALSE,1068.55331135591
"NAGLIPASYN-PWY",3213.29057912456,0.00333168819141494,0.0301280122797291,0.110584401004662,0.911967343484673,0.954483303553889,FALSE,1035.6420131417
"NONMEVIPP-PWY",7631.93742113307,0.00806422271943861,0.0185875177882314,0.433851513220578,0.664485351431853,0.86187600988671,FALSE,1050.52552952436
"NONOXIPENT-PWY",9565.53799989948,0.00550319720852793,0.018332904058002,0.300181421945853,0.764097842270274,0.888808111863608,FALSE,1056.24803878028
"OANTIGEN-PWY",5366.87456888765,0.0394916435452696,0.0202113033690432,1.95393848799268,0.0509745775414255,0.187482226921855,FALSE,1046.49583585065
"ORNARGDEG-PWY",1.38580583375843,0.225841649340857,0.123182169505852,1.833395614372,0.06702513969035,0.222920649784942,FALSE,1055.88231641445
