fid	AUC	study
129	GH15	0.50277027027027	PRJNA780023
130	GH15	0.489061509194673	PRJNA891951
131	GH15	0.485	PRJNA293971
132	GH15	0.483931623931624	PRJNA306884
133	GH15	0.44195458496306	PRJNA428736
134	GH16	0.36536226268888	PRJEB41443
135	GH16	0.490345419437889	PRJNA560950
136	GH16	0.529391891891892	PRJNA780023
137	GH16	0.478994927076728	PRJNA891951
138	GH16	0.4825	PRJNA293971
139	GH16	0.454700854700855	PRJNA306884
140	GH16	0.461788956492346	PRJNA428736
141	GH18	0.425416505230531	PRJEB41443
142	GH18	0.456768933705213	PRJNA560950
143	GH18	0.525337837837838	PRJNA780023
144	GH18	0.515298034242232	PRJNA891951
145	GH18	0.5525	PRJNA293971
146	GH18	0.513675213675214	PRJNA306884
147	GH18	0.447435293833599	PRJNA428736
148	GH19	0.527121270825262	PRJEB41443
149	GH19	0.444700708002575	PRJNA560950
150	GH19	0.4825	PRJNA780023
151	GH19	0.423272035510463	PRJNA891951
152	GH19	0.4675	PRJNA293971
153	GH19	0.451282051282051	PRJNA306884
154	GH19	0.521117026413637	PRJNA428736
155	GH20	0.509492444788842	PRJEB41443
156	GH20	0.498069083887578	PRJNA560950
157	GH20	0.503445945945946	PRJNA780023
158	GH20	0.488823715916297	PRJNA891951
159	GH20	0.5075	PRJNA293971
160	GH20	0.511111111111111	PRJNA306884
161	GH20	0.438166980539862	PRJNA428736
162	GH23	0.536613715614103	PRJEB41443
163	GH23	0.548058356575842	PRJNA560950
164	GH23	0.510067567567568	PRJNA780023
165	GH23	0.511295180722892	PRJNA891951
166	GH23	0.49625	PRJNA293971
167	GH23	0.490598290598291	PRJNA306884
168	GH23	0.551285069293544	PRJNA428736
169	GH26	0.524602867105773	PRJEB41443
170	GH26	0.469856254022742	PRJNA560950
171	GH26	0.515810810810811	PRJNA780023
172	GH26	0.52068801521877	PRJNA891951
173	GH26	0.45875	PRJNA293971
174	GH26	0.532478632478632	PRJNA306884
175	GH26	0.518437032208219	PRJNA428736
176	GH27	0.5	PRJEB41443
177	GH27	0.472430808839305	PRJNA560950
178	GH27	0.503783783783784	PRJNA780023
179	GH27	0.489378566899176	PRJNA891951
180	GH27	0.396875	PRJNA293971
181	GH27	0.412735042735043	PRJNA306884
182	GH27	0.481828552803129	PRJNA428736
183	GH28	0.419411080976366	PRJEB41443
184	GH28	0.314953872559537	PRJNA560950
185	GH28	0.492837837837838	PRJNA780023
186	GH28	0.427552314521243	PRJNA891951
187	GH28	0.5075	PRJNA293971
188	GH28	0.426923076923077	PRJNA306884
189	GH28	0.485951156502004	PRJNA428736
190	GH29	0.456799690042619	PRJEB41443
191	GH29	0.394550525638275	PRJNA560950
192	GH29	0.504459459459459	PRJNA780023
193	GH29	0.516249207355739	PRJNA891951
194	GH29	0.51875	PRJNA293971
195	GH29	0.522393162393162	PRJNA306884
196	GH29	0.448186778695253	PRJNA428736
197	GH3	0.547462223944208	PRJEB41443
198	GH3	0.477687191589788	PRJNA560950
199	GH3	0.449797297297297	PRJNA780023
200	GH3	0.520172796448954	PRJNA891951
201	GH3	0.4875	PRJNA293971
