"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"AA10",43.015778036534,-0.436310829937188,0.265890348710743,-1.64094271210965,0.102402485169509,0.784859010741373,FALSE,197.297866939346
"CBM15",0.374675110601209,-0.142816556579168,0.104046636017088,-1.37262060597242,0.171427942092052,0.784859010741373,FALSE,197.380921410064
"CBM20",0.547311293976027,-0.137436468233444,0.182489682246376,-0.753119116333896,0.452276657077933,0.96785504668903,FALSE,197.164233220556
"CBM48",55575.752228375,-0.0254571264295553,0.0560873778109619,-0.453883341014026,0.65041197467458,0.96785504668903,FALSE,197.176209841756
"CBM50",1126.65803186576,0.12617696075076,0.128810714538705,0.979553301933173,0.328506581240848,0.96785504668903,FALSE,197.245201431324
"CBM6",318.665643311647,0.0853947343792379,0.186157059363502,0.458724126128844,0.646939244728843,0.96785504668903,FALSE,196.50483835087
"CBM73",42.0472483194161,-0.441311669804482,0.266881722387862,-1.65358521316465,0.0998022014219382,0.784859010741373,FALSE,197.274436245248
"CE1",7521.64411094965,0.00560928017231598,0.0544854944940034,0.102949972729592,0.918107352701081,0.96785504668903,FALSE,197.085071234266
"CE10",5226.66341556934,-0.0178476691230466,0.0699700706494576,-0.25507576249939,0.798930940427386,0.96785504668903,FALSE,196.807509186016
"GH101",259.722421403872,-0.114856668779472,0.133261563795221,-0.861888946132799,0.389795238060689,0.96785504668903,FALSE,197.245677867286
"GH102",152.623074542293,-0.0830291846363649,0.195115006257496,-0.425539717466889,0.670907802376136,0.96785504668903,FALSE,196.990629241096
"GH103",282.331958220254,-0.0127406189075244,0.117487400405806,-0.108442427558341,0.91375527196581,0.96785504668903,FALSE,196.726838281419
"GH105",11475.2870714866,0.0818979589758387,0.0581449817889355,1.40851293535744,0.160554911246576,0.784859010741373,FALSE,197.076325388093
"GH116",13.2602270701306,0.210561565996771,0.311580597598194,0.675785230594831,0.499969291472084,0.96785504668903,FALSE,197.060883844355
"GH121",0.486142333862598,-0.238386095768051,0.175042862105506,-1.36187270306609,0.174790151503749,0.784859010741373,FALSE,197.407524678584
"GH127",35.5344660014803,0.110733391040409,0.316595743636545,0.349762728230269,0.726890154008272,0.96785504668903,FALSE,197.130446553994
"GH13",121934.565626956,-0.0364859631464197,0.0596258048600871,-0.61191565014568,0.541298743800378,0.96785504668903,FALSE,197.110029274748
"GH130",60.6816438158666,0.0198496811159617,0.262722085343632,0.0755539112366551,0.939850655527425,0.96785504668903,FALSE,197.050072065278
"GH15",699.570291484736,-0.0162326998392456,0.152706964185605,-0.106299669604562,0.915452683342326,0.96785504668903,FALSE,197.140040308649
"GH16",34.2995882873861,0.43785151711635,0.279078592902087,1.56891831997293,0.118272095182139,0.784859010741373,FALSE,196.961133304448
"GH18",2942.25880790743,0.0475989206039324,0.0844127038030581,0.563883378442476,0.573475910371215,0.96785504668903,FALSE,196.676594416426
"GH19",1.10245452559034,-0.470913543508573,0.249744598152549,-1.8855804970041,0.0608269629089314,0.784859010741373,FALSE,196.508875075459
"GH20",35763.3437731786,-0.00977481204070231,0.0739255209650349,-0.132225135691983,0.894941206048571,0.96785504668903,FALSE,196.950066254261
"GH23",6708.79419359434,0.0566416868179296,0.0822843269711227,0.688365438509423,0.492034263072119,0.96785504668903,FALSE,196.566910378322
"GH26",7034.86819483146,-0.0300861567185063,0.0897072526780607,-0.335381541852349,0.737694178065183,0.96785504668903,FALSE,196.993535752927
"GH27",3.58237989289231,0.098011895669542,0.317679396722876,0.308524558660761,0.758009152833818,0.96785504668903,FALSE,197.041071121108
"GH28",43.7848711444831,-0.165145767743976,0.19484962045525,-0.847554988088387,0.397713444780858,0.96785504668903,FALSE,197.180426909479
"GH29",34017.5108081725,-0.00497125272435391,0.0586996568787337,-0.0846896385548541,0.932594122111774,0.96785504668903,FALSE,197.032380209196
"GH3",82705.8958602177,-0.0388773823411753,0.0463086335716712,-0.839527736896087,0.402190166427144,0.96785504668903,FALSE,197.136522112495
"GH30",6721.83904105778,0.0703976946316287,0.0931959392943335,0.755372982607076,0.450927151446096,0.96785504668903,FALSE,197.053541089627
"GH31",64614.3613066208,0.00731229876413938,0.0449756950829459,0.162583340861186,0.871013082100983,0.96785504668903,FALSE,197.082463286419
"GH32",19456.1713026638,-0.0682589462398632,0.0793257332787854,-0.860489319398679,0.390564946721109,0.96785504668903,FALSE,197.083758089092
"GH33",9427.45984136093,0.0119217849992035,0.0649367155571258,0.18359082218619,0.85452315269105,0.96785504668903,FALSE,197.141535046403
"GH37",159.730946581162,0.0394816769216153,0.200766814422981,0.196654397466477,0.844300528386277,0.96785504668903,FALSE,197.192900906214
"GH38",9599.23690608716,0.0551236904964437,0.0698517238610807,0.789152900593724,0.430971157867226,0.96785504668903,FALSE,197.043724198686
"GH39",0.384582855760893,0.0815463479131114,0.141426108782943,0.576600378917773,0.564865678759433,0.96785504668903,FALSE,197.601398127771
"GH4",1006.31686872459,0.115164256144459,0.120528336154652,0.955495278692726,0.340500412556462,0.96785504668903,FALSE,196.647995686773
"GH43",25904.3464768791,-0.0319478244092236,0.0459774349432236,-0.694858781240738,0.487961988228821,0.96785504668903,FALSE,197.13157356685
"GH48",1.42443550862109,0.30915288196613,0.289806915566833,1.06675467478565,0.287387345874326,0.964800375435236,FALSE,197.128907219472
"GH5",24332.0212782005,0.107576113879322,0.0485790917495875,2.21445296741752,0.0279448718225825,0.737160261710953,FALSE,196.877190936619
"GH51",25217.3268964138,-0.00576839541388047,0.0491126713991737,-0.117452283688595,0.906621245466102,0.96785504668903,FALSE,197.11395450253
"GH57",5499.34594677739,0.0389612353519338,0.103001755479349,0.378257974057008,0.70564591856117,0.96785504668903,FALSE,197.158878393083
"GH6",5.90779832091033,0.400203857125008,0.281484654668096,1.42176083309727,0.156677187933257,0.784859010741373,FALSE,196.965029107444
"GH63",3471.85550105177,0.0776414901295074,0.0870703646804634,0.891709715635639,0.373637042698012,0.96785504668903,FALSE,196.881267144341
