"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"12DICHLORETHDEG-PWY",0.0980243652803222,0.05582392062707,0.063498213483817,0.879141594137875,0.380406560388668,0.840551233876555,FALSE,195
"14DICHLORBENZDEG-PWY",0.112338967203795,0.194946904565703,0.161284267676633,1.20871618400228,0.228235526008317,0.712278654992399,FALSE,195
"1CMET2-PWY",6151.03416455791,0.0141046301143414,0.0538536487818564,0.261906675469191,0.793669841987887,0.995373250286535,FALSE,195
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",0.120838128343607,0.131928617255472,0.187398931847801,0.703998768587538,0.482273368674279,0.915335169116488,FALSE,195
"4-HYDROXYMANDELATE-DEGRADATION-PWY",0.119338056276455,0.0655882899060614,0.156425397278161,0.419294379604037,0.67546253481922,0.995373250286535,FALSE,195
"ALLANTOINDEG-PWY",14.0741921771923,-0.830255493376941,0.257630379642436,-3.22266145215191,0.00148863646566303,0.0988879937904728,FALSE,195
"ANAEROFRUCAT-PWY",4593.01413266229,0.129469594822698,0.0584655928482969,2.21445791473694,0.0279556311662756,0.353396911655185,FALSE,195
"ANAGLYCOLYSIS-PWY",5869.02902259994,0.11579785009975,0.0560115042335129,2.06739404135599,0.0400174895877644,0.422912105870692,FALSE,195
"ARG+POLYAMINE-SYN",1364.25784791812,-0.0338845189230072,0.0802115366084831,-0.422439468880885,0.673169696974648,0.995373250286535,FALSE,195
"ARGDEG-IV-PWY",0.101025515528576,-0.0341305382745215,0.0553476489631929,-0.616657417503297,0.538179981589697,0.951534948438057,FALSE,195
"ARGDEG-PWY",0.123082334380559,-0.0324757782920475,0.177467464867286,-0.182995673693393,0.8549915353978,0.995373250286535,FALSE,195
"ARGININE-SYN4-PWY",5408.41997833631,-0.0101947195686753,0.0577475287955444,-0.176539494958647,0.860053338783491,0.995373250286535,FALSE,195
"ARGSYN-PWY",6546.99573159972,0.0169314731368613,0.0518592973988483,0.326488671966414,0.744404806158449,0.995373250286535,FALSE,195
"ARGSYNBSUB-PWY",6882.9044511631,0.022098805325309,0.0529062461131194,0.417697473339147,0.676627878089173,0.995373250286535,FALSE,195
"ARO-PWY",8275.61905560799,-0.0105861928455477,0.0546050156820748,-0.193868506643848,0.84648064664345,0.995373250286535,FALSE,195
"ASPASN-PWY",3697.28546456836,0.0732749708578231,0.0629001874734066,1.16494042070706,0.245466221481204,0.717763167957437,FALSE,195
"AST-PWY",1.5589147942574,-0.21433840448636,0.29648988625313,-0.722919783858555,0.470595346477278,0.904243124429481,FALSE,195
"BRANCHED-CHAIN-AA-SYN-PWY",7828.01824201382,0.000685906467681574,0.0538472834580681,0.0127379957470965,0.989849847412442,0.995373250286535,FALSE,195
"CALVIN-PWY",10007.374825992,0.0139281681132842,0.054103288282212,0.257436628262455,0.797113185912159,0.995373250286535,FALSE,195
"CARNMET-PWY",11.2397246713061,-1.05275547457327,0.293078401746914,-3.59206092396523,0.000415284529840356,0.0386214612751531,TRUE,195
"CATECHOL-ORTHO-CLEAVAGE-PWY",0.191293241917214,-0.364637057220535,0.225942008890137,-1.6138524173158,0.108176471258307,0.552240270922867,FALSE,195
"CHLOROPHYLL-SYN",0.098024365280322,0.164619286635836,0.098243349350565,1.67562779286382,0.0954138176043343,0.516624068294821,FALSE,195
"CITRULBIO-PWY",467.951342075759,0.250802922328015,0.145209181457696,1.72718363818531,0.0857181453865258,0.490618405276545,FALSE,195
"COA-PWY",6309.13348172586,0.0113191659003661,0.0520266239754817,0.217564874201724,0.827995639343763,0.995373250286535,FALSE,195
"COA-PWY-1",6494.24274921461,0.013979821754573,0.0521603341877403,0.268016337937091,0.788970038403478,0.995373250286535,FALSE,195
"COBALSYN-PWY",5445.03181776472,-0.00358829915240563,0.0584817823976963,-0.0613575545287583,0.951137296775549,0.995373250286535,FALSE,195
"CODH-PWY",1486.65367625706,-0.108502377634146,0.0760883568479663,-1.42600500429976,0.155465808099916,0.612640684461535,FALSE,195
"COLANSYN-PWY",4337.11811966406,-0.027006693564113,0.0641971178850944,-0.420683894446039,0.674449172799836,0.995373250286535,FALSE,195
"COMPLETE-ARO-PWY",8630.49516547711,-0.00844868175510513,0.0544814583347151,-0.155074442082651,0.876923028741102,0.995373250286535,FALSE,195
"CRNFORCAT-PWY",0.210365372164664,0.629727018064736,0.411150643804648,1.53162114070273,0.127236649466002,0.593289900176428,FALSE,195
"DAPLYSINESYN-PWY",7039.66342435823,-0.00410937960828607,0.054292695301859,-0.0756893645717633,0.939743832948175,0.995373250286535,FALSE,195
"DARABCATK12-PWY",1871.36002264298,-0.084793918588654,0.0740213707954961,-1.14553294105995,0.253392371464146,0.731847532489614,FALSE,195
"DENITRIFICATION-PWY",1.55550675481009,-0.145437453946735,0.475043001191606,-0.306156397593307,0.759812190681493,0.995373250286535,FALSE,195
"DENOVOPURINE2-PWY",1714.69292302691,0.100782391767809,0.0819184262157463,1.23027744090666,0.22007531196009,0.709517639633019,FALSE,195
"DHGLUCONATE-PYR-CAT-PWY",1.53894427305821,-0.471314286883022,0.336057792864268,-1.40247986177003,0.162362005943869,0.629152773032494,FALSE,195
"DTDPRHAMSYN-PWY",6771.59004038091,-0.0229801100870825,0.0541704165918471,-0.424218817813949,0.671873866097078,0.995373250286535,FALSE,195
"ECASYN-PWY",13.9372135864443,-0.377507297767442,0.377542460757868,-0.99990686348138,0.318594750540316,0.824535915705302,FALSE,195
"FAO-PWY",4.95846272171166,-0.676217872746911,0.367722325157538,-1.83893613872154,0.0674453317854551,0.490618405276545,FALSE,195
"FERMENTATION-PWY",5081.53472385859,0.0528795950952088,0.0554401029198759,0.953814879666301,0.341358212387794,0.828922807925519,FALSE,195
"FOLSYN-PWY",5994.45868779679,-0.00507957506171786,0.0533433996695202,-0.0952240594560431,0.924234642702622,0.995373250286535,FALSE,195
"FUC-RHAMCAT-PWY",2051.41557634251,-0.0601146114609432,0.0661878193122829,-0.908242816964774,0.364871040836005,0.828922807925519,FALSE,195
"FUCCAT-PWY",2177.33744802297,-0.0884084621659228,0.0704100070175636,-1.25562353862384,0.210754950012557,0.709517639633019,FALSE,195
"GALACTARDEG-PWY",1378.3879230264,-0.205319387974532,0.0697219096905334,-2.94483310749605,0.00362424733850559,0.153206819309554,FALSE,195
"GALACTITOLCAT-PWY",229.135209641718,-0.196051726956432,0.186110151736852,-1.05341769445031,0.29345313389116,0.788719291661919,FALSE,195
"GALLATE-DEGRADATION-I-PWY",0.126141436360648,-0.13945564754913,0.129847693041616,-1.0739940331819,0.284152542315165,0.772695509804397,FALSE,195
"GALLATE-DEGRADATION-II-PWY",0.121328679175249,-0.115379725819778,0.126067148579644,-0.915224363521525,0.361204223247657,0.828922807925519,FALSE,195
"GLCMANNANAUT-PWY",2221.13881219697,0.112943384585492,0.0649488131603324,1.73895994537546,0.083619977757846,0.490618405276545,FALSE,195
"GLUCARDEG-PWY",433.910458453872,-0.307311112174266,0.146033928872994,-2.10438159505751,0.0366265348736729,0.405508064672807,FALSE,195
"GLUCARGALACTSUPER-PWY",1378.3879230264,-0.205319387974532,0.0697219096905334,-2.94483310749605,0.00362424733850559,0.153206819309554,FALSE,195
"GLUCONEO-PWY",7332.35929582391,0.0110174100644693,0.0525690201693935,0.209579901412806,0.834214362286116,0.995373250286535,FALSE,195
"GLUCOSE1PMETAB-PWY",9154.45126111771,0.0286498301512209,0.059168656073636,0.484206200586437,0.628782910536593,0.995373250286535,FALSE,195
"GLUDEG-I-PWY",813.042282445797,-0.0951465064064845,0.13106314996348,-0.72595925271899,0.468734164958192,0.904243124429481,FALSE,195
"GLUTORN-PWY",6897.55786805099,0.0067056777343218,0.0549290270901956,0.122078946042696,0.902962212066093,0.995373250286535,FALSE,195
"GLYCOCAT-PWY",123.813138074192,0.373665645767491,0.28975265286885,1.28960215572771,0.198716264804803,0.705366894154455,FALSE,195
"GLYCOGENSYNTH-PWY",10063.5312888572,0.00368493220204522,0.05806232648786,0.0634651145578137,0.949461146342842,0.995373250286535,FALSE,195
"GLYCOL-GLYOXDEG-PWY",6.79416133595301,-0.582146304584073,0.324451426386866,-1.79424794357335,0.0743227042863719,0.490618405276545,FALSE,195
"GLYCOLYSIS",7708.88906226126,0.000984744350387298,0.0531431635423553,0.0185300287891678,0.9852349680879,0.995373250286535,FALSE,195
"GLYCOLYSIS-E-D",13.1736089634884,-0.795751645060829,0.353772983500287,-2.24932847383521,0.0256095183823259,0.353396911655185,FALSE,195
"GLYOXYLATE-BYPASS",5.65774159514804,-0.25952803668608,0.371478772872403,-0.698634903629401,0.485612591872451,0.917926240734511,FALSE,195
"GOLPDLCAT-PWY",111.894265127123,0.547499193223858,0.151713708156261,3.60876548254919,0.000391016528778798,0.0386214612751531,TRUE,195
"HCAMHPDEG-PWY",0.144591454364256,-0.318844039054225,0.176801706752156,-1.80339910123824,0.07286919686033,0.490618405276545,FALSE,195
"HEME-BIOSYNTHESIS-II",15.564126328055,-0.0328937099260489,0.27975988360917,-0.117578365781715,0.906522765870315,0.995373250286535,FALSE,195
"HEME-BIOSYNTHESIS-II-1",71.1445057663135,0.229242530160517,0.204943893869759,1.11856238227912,0.264702928014132,0.743793630674478,FALSE,195
"HEMESYN2-PWY",71.1445057663135,0.229242530160517,0.204943893869759,1.11856238227912,0.264702928014132,0.743793630674478,FALSE,195
"HEXITOLDEGSUPER-PWY",658.618015076893,-0.238003033029431,0.163016852680386,-1.45999035753723,0.145901904727245,0.600392793789108,FALSE,195
"HISDEG-PWY",917.746395790694,0.0838090808784278,0.105600503037078,0.793642818623709,0.428368075290032,0.89210302985355,FALSE,195
"HISTSYN-PWY",6239.80222938201,0.0270396722176806,0.0527243188258872,0.512850100671273,0.608636652739774,0.993038749207,FALSE,195
"HOMOSER-METSYN-PWY",2369.84631238109,-0.0216901967707455,0.0681338122533723,-0.318347029960472,0.750562403984862,0.995373250286535,FALSE,195
"HSERMETANA-PWY",4334.99978409869,-0.00231757293081154,0.0723356521525032,-0.0320391516748265,0.974473597806137,0.995373250286535,FALSE,195
"ILEUSYN-PWY",8393.67368643583,-0.00185638487761618,0.0536030800987346,-0.0346320561094026,0.972408564217178,0.995373250286535,FALSE,195
"KDO-NAGLIPASYN-PWY",400.81371406386,-0.523627133812643,0.212823738492786,-2.46037936144229,0.014749216188307,0.244942340270098,FALSE,195
"KETOGLUCONMET-PWY",3.47317616616473,-0.463455335288335,0.407610881948844,-1.13700432400747,0.256931726274238,0.737489214305684,FALSE,195
"LACTOSECAT-PWY",41.521143726099,-0.417239063429517,0.280907356669657,-1.48532622419065,0.139072256170388,0.593289900176428,FALSE,195
"LIPASYN-PWY",130.512393948361,0.411854541161519,0.21437567329951,1.92118133005747,0.0561671757621995,0.46638815588255,FALSE,195
"MET-SAM-PWY",3388.36771978648,-0.0161921733041759,0.0622523161810527,-0.260105555865312,0.795056787913979,0.995373250286535,FALSE,195
"METH-ACETATE-PWY",1797.91265628666,-0.0903568562354746,0.0778120612426885,-1.16121915796139,0.24697227284557,0.717763167957437,FALSE,195
"METHANOGENESIS-PWY",0.169338437621126,-0.0181232253289129,0.284884585653209,-0.0636160264247306,0.949341134122834,0.995373250286535,FALSE,195
"METHGLYUT-PWY",2.91580445940118,-0.580526151926455,0.34930319967422,-1.66195486462159,0.0981285274281945,0.516624068294821,FALSE,195
"METHYLGALLATE-DEGRADATION-PWY",0.106193330693475,-0.00239647468425516,0.0919962254819164,-0.0260497066233031,0.97924433056384,0.995373250286535,FALSE,195
"METSYN-PWY",3450.67236657845,-0.0184507694373234,0.062898926721701,-0.293339972539749,0.769574250632411,0.995373250286535,FALSE,195
"NAD-BIOSYNTHESIS-II",23.5684423022875,-0.557057077112888,0.373834289986569,-1.49011765917167,0.137809003893135,0.593289900176428,FALSE,195
"NADSYN-PWY",0.156861925824419,-0.373640992705918,0.250700017412538,-1.49039077285374,0.137737267418225,0.593289900176428,FALSE,195
"NAGLIPASYN-PWY",1369.49387953059,0.0555225388167135,0.0807874337563829,0.687267019573162,0.492731048284144,0.920997837393742,FALSE,195
"NONMEVIPP-PWY",7558.25562436711,0.0253852911398209,0.0546033721479971,0.464903359283683,0.64251937065814,0.995373250286535,FALSE,195
"NONOXIPENT-PWY",10938.6297570095,0.0187811231528715,0.054598363842893,0.343986922518672,0.731226762717788,0.995373250286535,FALSE,195
"OANTIGEN-PWY",5830.58811854742,0.00639449445318097,0.0556366833022229,0.114933063469035,0.908616438059017,0.995373250286535,FALSE,195
"ORNARGDEG-PWY",0.123082334380559,-0.0324757782920475,0.177467464867286,-0.182995673693393,0.8549915353978,0.995373250286535,FALSE,195
"ORNDEG-PWY",3.16432059428313,-0.563366073413248,0.377779624525651,-1.49125584557564,0.137510237498,0.593289900176428,FALSE,195
"P101-PWY",130.485230524816,-1.27456378677957,0.461461480197701,-2.76201555595393,0.00629385242555869,0.187644859987471,FALSE,195
"P105-PWY",7.57602311409287,-0.544989472106372,0.208911855055795,-2.60870534111537,0.0097927980121182,0.21256981106284,FALSE,195
"P108-PWY",4.21903790144306,-0.237054821445513,0.607755973856456,-0.390049348164041,0.696925769068007,0.995373250286535,FALSE,195
"P125-PWY",75.684546440483,-0.0978833885791716,0.174989665200184,-0.559366682982079,0.576553385408855,0.974899360782246,FALSE,195
"P163-PWY",243.466083001582,-0.335867625908574,0.19003649050204,-1.76738491129401,0.0787278712699855,0.490618405276545,FALSE,195
"P164-PWY",1319.08573794692,-0.117851817765237,0.11800460848851,-0.998705213929948,0.319175193176246,0.824535915705302,FALSE,195
"P184-PWY",0.106496158824942,-0.00253829398549105,0.0946069994003938,-0.0268298751844833,0.978622862046633,0.995373250286535,FALSE,195
