	dinput	filter	forwd	length	nonchim	chim_perc	retained_perc
SRR10022092_1.fastq	84319	84317	82935	82935	81646	1.6	96.8
SRR10022093_1.fastq	109526	109524	107404	107404	105849	1.4	96.6
SRR10022095_1.fastq	77863	77863	76461	76461	74692	2.3	95.9
SRR10022096_1.fastq	77572	77572	75572	75572	74432	1.5	96
SRR10022097_1.fastq	79366	79366	77385	77385	76148	1.6	95.9
SRR10022098_1.fastq	82453	82453	80128	80128	78979	1.4	95.8
SRR10022099_1.fastq	70508	70506	68754	68754	67487	1.8	95.7
SRR10022100_1.fastq	87979	87978	85953	85953	83441	2.9	94.8
SRR10022101_1.fastq	86003	86002	84034	84034	81891	2.6	95.2
SRR10022102_1.fastq	73134	73134	71470	71470	69716	2.5	95.3
SRR10022103_1.fastq	79271	79271	77796	77796	75955	2.4	95.8
SRR10022104_1.fastq	88894	88893	86555	86555	85009	1.8	95.6
SRR10022105_1.fastq	61285	61284	59463	59463	56929	4.3	92.9
SRR10022106_1.fastq	58458	58457	57198	57198	55475	3	94.9
SRR10022107_1.fastq	58809	58809	57356	57356	54036	5.8	91.9
SRR10022108_1.fastq	51350	51350	50213	50213	48519	3.4	94.5
SRR10022109_1.fastq	55691	55690	54803	54803	54142	1.2	97.2
SRR10022110_1.fastq	56731	56729	55140	55140	53753	2.5	94.8
SRR10022111_1.fastq	53148	53147	50919	50919	49319	3.1	92.8
SRR10022112_1.fastq	46382	46379	44809	44809	42693	4.7	92
SRR10022113_1.fastq	38156	38156	36856	36856	35424	3.9	92.8
SRR10022114_1.fastq	34324	34323	33237	33237	32049	3.6	93.4
SRR10022115_1.fastq	47939	47937	46002	46002	44360	3.6	92.5
SRR10022116_1.fastq	64369	64369	62576	62576	60363	3.5	93.8
SRR10022117_1.fastq	59344	59343	57483	57483	53236	7.4	89.7
SRR10022118_1.fastq	50285	50283	48694	48694	47228	3	93.9
SRR10022119_1.fastq	12085	12069	11452	11452	11017	3.8	91.2
SRR10022120_1.fastq	68653	68653	67253	67253	65599	2.5	95.6
SRR10022121_1.fastq	37866	37864	36999	36999	36104	2.4	95.3
SRR10022122_1.fastq	63586	63585	62149	62149	60516	2.6	95.2
SRR10022123_1.fastq	73854	73853	71814	71814	70224	2.2	95.1
SRR10022124_1.fastq	86010	86010	83701	83701	81866	2.2	95.2
SRR10022125_1.fastq	78395	78394	76557	76557	74719	2.4	95.3
SRR10022126_1.fastq	95342	95340	93187	93187	90723	2.6	95.2
SRR10022127_1.fastq	84274	84273	82251	82251	77618	5.6	92.1
SRR10022128_1.fastq	86097	86096	84331	84331	82562	2.1	95.9
SRR10022129_1.fastq	84954	84953	83231	83231	81541	2	96
SRR10022130_1.fastq	72162	72162	70795	70795	70018	1.1	97
SRR10022131_1.fastq	53427	53425	52216	52216	51910	0.6	97.2
SRR10022132_1.fastq	69398	69397	67828	67828	67540	0.4	97.3
SRR10022133_1.fastq	70021	70021	68505	68505	66346	3.2	94.8
SRR10022134_1.fastq	85892	85890	84273	84273	82377	2.2	95.9
SRR10022135_1.fastq	70139	70138	68373	68373	67017	2	95.5
SRR10022136_1.fastq	49355	49351	48034	48034	46825	2.5	94.9
SRR10022137_1.fastq	80692	80692	78908	78908	76901	2.5	95.3
SRR10022138_1.fastq	62555	62555	61184	61184	60438	1.2	96.6
SRR10022139_1.fastq	67068	67068	65838	65838	63884	3	95.3
SRR10022141_1.fastq	71104	71103	70055	70055	66687	4.8	93.8
SRR10022142_1.fastq	80259	80258	78386	78386	77660	0.9	96.8
SRR10022143_1.fastq	88216	88211	86501	86501	85036	1.7	96.4
SRR10022144_1.fastq	70484	70483	69090	69090	68173	1.3	96.7
SRR10022145_1.fastq	56526	56523	55412	55412	54049	2.5	95.6
SRR10022146_1.fastq	73548	73548	72233	72233	70915	1.8	96.4
SRR10022147_1.fastq	87235	87234	85478	85478	83586	2.2	95.8
SRR10022148_1.fastq	71861	71861	70406	70406	68455	2.8	95.3
SRR10022149_1.fastq	63356	63355	61659	61659	60444	2	95.4
SRR10022150_1.fastq	65437	65435	63341	63341	61536	2.8	94
SRR10022151_1.fastq	80142	80141	78437	78437	76097	3	95
SRR10022152_1.fastq	52562	52562	51390	51390	50693	1.4	96.4
SRR10022153_1.fastq	57352	57351	56145	56145	55223	1.6	96.3
SRR10022154_1.fastq	89857	89855	88504	88504	86891	1.8	96.7
SRR10022155_1.fastq	95427	95426	93709	93709	90342	3.6	94.7
SRR10022156_1.fastq	52392	52392	51420	51420	50663	1.5	96.7
SRR10022157_1.fastq	74893	74892	73450	73450	71480	2.7	95.4
SRR10022158_1.fastq	93758	93757	91925	91925	88349	3.9	94.2
SRR10022159_1.fastq	90009	90007	88133	88133	87067	1.2	96.7
SRR10022160_1.fastq	72354	72354	69861	69861	68551	1.9	94.7
SRR10022161_1.fastq	82526	82525	80186	80186	78579	2	95.2
SRR10022162_1.fastq	65274	65272	63174	63174	61610	2.5	94.4
SRR10022163_1.fastq	78152	78151	76265	76265	74777	2	95.7
SRR10022164_1.fastq	56937	56937	55795	55795	55184	1.1	96.9
SRR10022165_1.fastq	78593	78592	77282	77282	75012	2.9	95.4
SRR10022166_1.fastq	105792	105792	104235	104235	100410	3.7	94.9
SRR10022167_1.fastq	62615	62615	60777	60777	58197	4.2	92.9
SRR10022168_1.fastq	73859	73859	72732	72732	71702	1.4	97.1
SRR10022169_1.fastq	79083	79083	77639	77639	76600	1.3	96.9
SRR10022170_1.fastq	52559	52557	51673	51673	50716	1.9	96.5
SRR10022171_1.fastq	70747	70745	68328	68328	66885	2.1	94.5
SRR10022172_1.fastq	51689	51686	50328	50328	49166	2.3	95.1
SRR10022173_1.fastq	61089	61089	59852	59852	58862	1.7	96.4
SRR10022174_1.fastq	62602	62600	60953	60953	59377	2.6	94.8
SRR10022175_1.fastq	51253	51250	49860	49860	48726	2.3	95.1
SRR10022176_1.fastq	50156	50155	48704	48704	48033	1.4	95.8
SRR10022177_1.fastq	64579	64577	63179	63179	60650	4	93.9
SRR10022178_1.fastq	90910	90907	89325	89325	85442	4.3	94
SRR10022179_1.fastq	91695	91693	90383	90383	88095	2.5	96.1
SRR10022180_1.fastq	91564	91564	90046	90046	88398	1.8	96.5
SRR10022181_1.fastq	64290	64288	63173	63173	62001	1.9	96.4
SRR10022182_1.fastq	86959	86959	85239	85239	80244	5.9	92.3
SRR10022183_1.fastq	64747	64746	63263	63263	61684	2.5	95.3
SRR10022184_1.fastq	74985	74985	73260	73260	72087	1.6	96.1
SRR10022185_1.fastq	67977	67977	66702	66702	65429	1.9	96.3
SRR10022186_1.fastq	68605	68605	67361	67361	66281	1.6	96.6
SRR10022187_1.fastq	70644	70643	69033	69033	67728	1.9	95.9
SRR10022188_1.fastq	49397	49397	48170	48170	45941	4.6	93
SRR10022189_1.fastq	63607	63607	62306	62306	61805	0.8	97.2
SRR10022190_1.fastq	48859	48859	47930	47930	47419	1.1	97.1
